,Month,NDVI,newMonth,newNDVI
0,1,0.7649834702837467,March,0.689750698817922
1,2,0.7397415385412309,April,0.6643930742334588
2,3,0.689750698817922,May,0.7288738509173865
3,4,0.6643930742334588,June,0.7151552671687287
4,5,0.7288738509173865,July,0.7150891594536
5,6,0.7151552671687287,August,0.7563371913051984
6,7,0.7150891594536,September,0.7435699838622916
7,8,0.7563371913051984,October,0.7386296283158235
8,9,0.7435699838622916,November,0.7439586107344514
9,10,0.7386296283158235,December,0.752723491653377
10,11,0.7439586107344514,January,0.7649834702837467
11,12,0.752723491653377,February,0.7397415385412309
