"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"JAN",4.3,"SEL",10,1.92,0.1,-2.38,-4.2,0.3,0.38,0.17,0.25,12,6.01,1.1,-40.6,-73.9
"JAN",4.3,"WEL",13,4.8,0.3,0.5,-4,0.55,0.6,0.18,0.26,12,11.2,3.7,-5.4,-56.3
"JAN",4.3,"NUT",20,4.9,0.6,0.6,0.6,0.56,0.5,0.2,0.09,12,13.5,1.4,10.2,-71.9
"JAN",4.3,"WLA",17,3.9,0.3,-0.4,-4,0.47,0.44,0.18,0.17,12,12.3,2.1,2.1,-67.1
"JAN",4.3,"SLA",10,6,1.1,1.7,-3.2,0.66,0.62,0.24,0.22,12,12.6,3.7,4.1,-56.3
"FEB",3,"SEL",9,0.89,0.1,-2.11,-2.9,0.19,0.29,0.11,0.16,13.5,12.94,3.9,-3.4,-59.1
"FEB",3,"WEL",8,2.6,1.2,-0.4,-2.1,0.43,0.67,0.23,0.36,13.5,11.1,5.4,-14.8,-49.9
"FEB",3,"NUT",27,3.4,0.4,0.4,0.4,0.56,0.5,0.14,0.13,13.5,14.3,1.7,4.9,-72.6
"FEB",3,"WLA",16,3.8,0.9,0.8,-2.1,0.62,0.55,0.19,0.14,13.5,14.9,3.8,8.6,-59.7
"FEB",3,"SLA",8,2.9,0.3,-0.1,-2.7,0.48,0.4,0.13,0.09,13.5,19.3,15.3,35.7,11.1
"MAR",4.7,"SEL",7,3.2,0.9,-1.5,-3.8,0.32,0.45,0.12,0.12,17,16.45,8.1,-2.8,-45.1
"MAR",4.7,"WEL",5,3.8,2.2,-0.9,-3.8,0.39,0.56,0.22,0.29,17,14.8,5.9,-11.1,-56.2
"MAR",4.7,"NUT",37,5.2,0.4,0.5,0.4,0.56,0.5,0.09,0.11,17,17.8,2.5,4,-73.4
"MAR",4.7,"WLA",16,4.6,0.9,-0.1,-3.8,0.48,0.5,0.12,0.04,17,17.1,3.1,0.5,-70.4
"MAR",4.7,"SLA",3,3.7,2.3,-1,-2.4,0.37,0.34,0.23,0.14,17,26.9,25.5,50.1,43
"APR",5.8,"SEL",2,8.85,2.9,3.05,-2.9,0.78,0.84,0.23,0.25,18.3,20.42,10.8,10.1,-35.6
"APR",5.8,"WEL",11,4.7,2,-1.1,-3.8,0.38,0.43,0.16,0.17,18.3,19.3,6.6,4.7,-55.6
"APR",5.8,"NUT",41,5.7,0.9,-0.1,0.9,0.48,0.5,0.1,0.13,18.3,18.2,3.8,-0.5,-68.9
"APR",5.8,"WLA",14,6.5,2,0.7,-3.8,0.57,0.48,0.16,0.08,18.3,18.3,4.2,0,-67
"APR",5.8,"SLA",1,12.7,12.7,6.9,6.9,0.96,0.97,0.96,0.97,18.3,27.6,26.8,44.2,40.4
"MAY",6.5,"SEL",2,4.4,4.3,-2.1,-2.2,0.26,0.27,0.25,0.26,18.1,17.34,10.4,-3.6,-36.9
"MAY",6.5,"WEL",14,6.3,1.7,-0.2,-6.3,0.47,0.53,0.07,0.05,18.1,20.9,5.8,13.4,-59
"MAY",6.5,"NUT",40,6.9,1.2,0.4,1.2,0.55,0.5,0.05,0.05,18.1,17.9,4.1,-1,-67.2
"MAY",6.5,"WLA",12,6,0.2,-0.5,-6.3,0.44,0.46,0.02,0.02,18.1,18.7,4.3,2.9,-66.2
"MAY",6.5,"SLA",1,10.5,10.5,4,4,0.89,0.91,0.89,0.91,18.1,17.6,16.7,-2.4,-6.7
"JUN",6,"SEL",3,7.17,3.6,1.17,-2.4,0.65,0.44,0.2,0.13,17.2,21.04,9,19.3,-41.1
"JUN",6,"WEL",12,8.3,2.9,2.3,-4,0.78,0.56,0.14,0.1,17.2,20.7,7.6,17.5,-48.1
"JUN",6,"NUT",40,5.6,1.7,-0.4,1.7,0.44,0.5,0.07,0.05,17.2,16.2,4.1,-5,-65.7
"JUN",6,"WLA",11,5.8,2,-0.2,-4,0.47,0.56,0.09,0.14,17.2,18.5,6.4,6.5,-54.2
"JUN",6,"SLA",2,4.4,3.6,-1.6,-2.4,0.29,0.38,0.2,0.29,17.2,10.1,7.5,-35.6,-48.6
"JUL",5.6,"SEL",6,5.77,2.5,0.17,-3.1,0.52,0.43,0.11,0.07,17.1,22.83,9.4,28.9,-38.8
"JUL",5.6,"WEL",8,6.3,1.2,0.7,-3.5,0.6,0.52,0.04,0.02,17.1,15.6,5.7,-7.6,-57.4
"JUL",5.6,"NUT",41,5.4,1.2,-0.2,1.2,0.46,0.5,0.04,0.05,17.1,16.6,3.9,-2.5,-66.5
"JUL",5.6,"WLA",9,6.9,2.1,1.3,-3.5,0.69,0.66,0.08,0.09,17.1,18.9,7.8,9.1,-46.9
"JUL",5.6,"SLA",2,2.7,2.6,-2.9,-3,0.12,0.13,0.12,0.12,17.1,10.2,7.4,-34.8,-48.9
"AUG",5.6,"SEL",7,8.1,2.9,2.5,-2.7,0.81,0.63,0.18,0.15,16.3,22.03,9.4,30.1,-36.2
"AUG",5.6,"WEL",12,6.1,3.5,0.5,-3.3,0.57,0.43,0.24,0.19,16.3,15,6.2,-6.8,-53
"AUG",5.6,"NUT",34,5.2,1.2,-0.4,1.2,0.45,0.5,0.07,0.05,16.3,16.2,3.9,-0.5,-65.1
"AUG",5.6,"WLA",12,5.8,2.3,0.2,-3.3,0.53,0.62,0.13,0.14,16.3,16.1,6.1,-1.1,-53.6
"AUG",5.6,"SLA",5,3,1.3,-2.6,-4.3,0.19,0.21,0.07,0.07,16.3,11.3,6.7,-26.3,-50.4
"SEP",5.9,"SEL",8,8.96,4,3.06,-1.9,0.8,0.71,0.3,0.36,14.3,17.14,7,16.7,-42.8
"SEP",5.9,"WEL",8,3.2,1,-2.7,-2.5,0.23,0.31,0.09,0.18,14.3,11.6,3.3,-15.8,-64.5
"SEP",5.9,"NUT",36,6,1.5,0.1,1.5,0.51,0.5,0.11,0.07,14.3,15.1,3.3,4.7,-64.5
"SEP",5.9,"WLA",11,6.2,3.4,0.3,-2.5,0.54,0.66,0.24,0.1,14.3,15,4.1,4.1,-59.8
"SEP",5.9,"SLA",5,4.5,3.5,-1.4,-2.4,0.35,0.27,0.25,0.11,14.3,11.2,6,-18.2,-48.7
"OCT",4.8,"SEL",10,4.97,2.5,0.17,-2.3,0.52,0.48,0.2,0.21,11.5,9.83,3.2,-11.7,-58.3
"OCT",4.8,"WEL",10,5.7,1.7,0.9,-4.4,0.62,0.57,0.13,0.14,11.5,11.7,3.1,1.4,-59
"OCT",4.8,"NUT",30,5,1.2,0.2,1.2,0.53,0.49,0.1,0.05,11.5,11.9,2.1,2.8,-66
"OCT",4.8,"WLA",10,4.1,0.4,-0.7,-4.4,0.4,0.5,0.06,0.11,11.5,13.1,1,11.2,-73.7
"OCT",4.8,"SLA",8,3.8,1.9,-1,-2.9,0.36,0.46,0.15,0.23,11.5,11,3.4,-3.5,-56.9
"NOV",3.6,"SEL",14,3.21,0.5,-0.39,-3.1,0.45,0.54,0.13,0.15,11,6.78,0.8,-30.7,-74.2
"NOV",3.6,"WEL",12,2.7,0.6,-0.9,-3.3,0.37,0.45,0.14,0.16,11,10.8,1.7,-1.5,-67.7
"NOV",3.6,"NUT",22,4.1,0.6,0.5,0.6,0.58,0.51,0.14,0.11,11,11.8,1.5,5.8,-69.1
"NOV",3.6,"WLA",11,4.7,0.3,1.1,-3.3,0.66,0.62,0.12,0.13,11,12.9,0.9,13.8,-73.5
"NOV",3.6,"SLA",11,2.9,0.6,-0.7,-3,0.4,0.39,0.14,0.15,11,13.2,2.6,16,-61.1
"DEC",3.1,"SEL",13,1.65,0.2,-1.45,-2.9,0.3,0.34,0.14,0.17,10.4,4.46,0.4,-45.2,-76.1
"DEC",3.1,"WEL",11,3.3,0.8,0.2,-2.8,0.54,0.59,0.2,0.23,10.4,10.7,2.3,2.3,-61.6
"DEC",3.1,"NUT",22,2.8,0.3,-0.3,0.3,0.46,0.51,0.15,0.08,10.4,11.1,1.3,5.3,-69.2
"DEC",3.1,"WLA",11,4.3,0.3,1.2,-2.8,0.68,0.55,0.15,0.14,10.4,12,1.5,12.2,-67.7
"DEC",3.1,"SLA",9,4.3,0.9,1.2,-2.2,0.68,0.55,0.21,0.19,10.4,13.2,2.3,21.3,-61.6
