"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"JAN",6.5,"SEL",10,3.65,0.9,-2.85,-5.6,0.24,0.4,0.08,0.14,19.8,10.95,3.2,-39.3,-73.6
"JAN",6.5,"WEL",13,5,1.5,-1.5,-5.3,0.36,0.56,0.11,0.18,19.8,18,6.9,-8,-57.2
"JAN",6.5,"NUT",20,8.3,1.9,1.8,1.9,0.68,0.5,0.13,0.08,19.8,21.6,5.4,8,-63.9
"JAN",6.5,"WLA",17,6,1.2,-0.5,-5.3,0.45,0.39,0.09,0.04,19.8,22.1,6.9,10.2,-57.2
"JAN",6.5,"SLA",10,8.3,3.4,1.8,-3.1,0.68,0.67,0.22,0.15,19.8,20.3,6.1,2.2,-60.8
"FEB",5.9,"SEL",9,3.54,0.8,-2.36,-5.1,0.26,0.37,0.08,0.13,19.8,11.15,4.5,-38.4,-67.8
"FEB",5.9,"WEL",8,5.7,2.5,-0.2,-3.5,0.48,0.62,0.18,0.26,19.8,18.5,8.1,-5.8,-51.9
"FEB",5.9,"NUT",27,5.6,1.2,-0.3,1.2,0.47,0.5,0.1,0.12,19.8,19.7,5.6,-0.4,-63
"FEB",5.9,"WLA",16,7.5,2.4,1.6,-3.5,0.67,0.55,0.17,0.1,19.8,23.4,8.7,16,-49.2
"FEB",5.9,"SLA",8,5.7,0.5,-0.2,-5.4,0.48,0.35,0.07,0.03,19.8,25.7,16.4,26.2,-15.1
"MAR",7.4,"SEL",7,3.76,1.5,-3.64,-5.9,0.21,0.32,0.1,0.12,18.8,12.11,7.3,-31,-53.4
"MAR",7.4,"WEL",5,7.3,2.9,-0.1,-4.1,0.49,0.74,0.16,0.24,18.8,18.1,7.9,-3.3,-50.6
"MAR",7.4,"NUT",37,7.7,2.3,0.3,2.3,0.53,0.5,0.13,0.15,18.8,19.1,5.9,1.4,-59.9
"MAR",7.4,"WLA",16,8.6,3.3,1.2,-4.1,0.61,0.56,0.18,0.1,18.8,20.6,7.7,8.4,-51.5
"MAR",7.4,"SLA",3,6.3,2.2,-1.1,-5.2,0.41,0.32,0.13,0.06,18.8,26,21.9,33.4,14.4
"APR",6.5,"SEL",2,3.85,2.2,-2.65,-4.3,0.22,0.24,0.1,0.06,15,14.82,9.9,-1,-28.7
"APR",6.5,"WEL",11,5.5,2.7,-1,-3.5,0.39,0.55,0.13,0.1,15,14.7,7.6,-1.7,-41.7
"APR",6.5,"NUT",41,6.4,2.1,-0.1,2.1,0.49,0.5,0.1,0.1,15,15.1,5.1,0.6,-55.8
"APR",6.5,"WLA",14,7.3,3,0.8,-3.5,0.6,0.47,0.15,0.13,15,14.5,6.2,-2.8,-49.6
"APR",6.5,"SLA",1,13.7,13.7,7.2,7.2,0.98,0.93,0.98,0.93,15,21.7,21.5,37.7,36.6
"MAY",4.9,"SEL",2,4.5,3.6,-0.4,-1.3,0.43,0.37,0.27,0.22,13.3,16.44,11.6,19.6,-10.6
"MAY",4.9,"WEL",14,5.3,2.3,0.4,-3.5,0.58,0.52,0.11,0.08,13.3,14.5,7.2,7.5,-38
"MAY",4.9,"NUT",40,5,1.5,0.1,1.5,0.53,0.51,0.05,0.06,13.3,13.6,5.9,1.9,-46.1
"MAY",4.9,"WLA",12,4.7,1.4,-0.2,-3.5,0.47,0.51,0.05,0.08,13.3,11.8,6.1,-9.4,-44.9
"MAY",4.9,"SLA",1,6,6,1.1,1.1,0.71,0.72,0.71,0.72,13.3,10.6,10.2,-16.8,-19.3
"JUN",3.6,"SEL",3,6.47,4.1,2.87,0.5,0.98,0.9,0.65,0.45,13.7,18,10.4,26.2,-20.1
"JUN",3.6,"WEL",12,3.9,2.6,0.3,-1.8,0.6,0.41,0.25,0.16,13.7,15.7,8.1,12.2,-34.1
"JUN",3.6,"NUT",40,3.7,1.5,0.1,1.5,0.54,0.51,0.07,0.04,13.7,13.5,6.7,-1.2,-42.5
"JUN",3.6,"WLA",11,2.5,1.8,-1.1,-1.8,0.23,0.58,0.11,0.18,13.7,12.8,6.6,-5.5,-43.2
"JUN",3.6,"SLA",2,2,1.8,-1.6,-1.8,0.14,0.28,0.11,0.18,13.7,7.6,6.1,-37.1,-46.2
"JUL",4.8,"SEL",6,5.47,3.9,0.67,-0.9,0.63,0.5,0.32,0.27,14.3,17.06,9.5,16.2,-28.2
"JUL",4.8,"WEL",8,5.3,2.3,0.5,-1.9,0.6,0.48,0.1,0.1,14.3,15.1,7.3,4.7,-41.1
"JUL",4.8,"NUT",41,4.9,2.9,0.1,2.9,0.51,0.49,0.16,0.13,14.3,14.1,7.3,-1.2,-41.1
"JUL",4.8,"WLA",9,4.6,2.9,-0.2,-1.9,0.45,0.71,0.16,0.25,14.3,14.3,7.2,0,-41.6
"JUL",4.8,"SLA",2,2.6,2.4,-2.2,-2.4,0.13,0.19,0.11,0.16,14.3,8.8,6.1,-32.3,-48.1
