"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"JAN",8.3,"SEL",10,5.81,1,-2.49,-7.3,0.32,0.4,0.09,0.12,25.5,18.26,4.4,-25.6,-74.7
"JAN",8.3,"WEL",13,8.3,0.4,0,-7.1,0.5,0.59,0.07,0.1,25.5,24.7,5.8,-2.8,-69.7
"JAN",8.3,"NUT",20,10.5,1.4,2.2,1.4,0.65,0.5,0.1,0.09,25.5,29,5,12.4,-72.6
"JAN",8.3,"WLA",17,6.8,1.2,-1.5,-7.1,0.39,0.4,0.1,0.05,25.5,25.3,6.4,-0.7,-67.6
"JAN",8.3,"SLA",10,9.5,5.3,1.2,-3,0.58,0.66,0.29,0.27,25.5,20.9,8.7,-16.3,-59.5
"FEB",7.3,"SEL",9,5.64,0.9,-1.66,-6.4,0.37,0.45,0.09,0.16,26,19.25,9.6,-23.5,-57.1
"FEB",7.3,"WEL",8,6.4,1.1,-0.9,-4.6,0.43,0.51,0.1,0.17,26,25.2,9.4,-2.8,-57.7
"FEB",7.3,"NUT",27,7.6,1.2,0.3,1.2,0.52,0.5,0.1,0.08,26,26.9,4.6,3.1,-74.4
"FEB",7.3,"WLA",16,8.9,2.7,1.6,-4.6,0.63,0.59,0.17,0.16,26,28,6.3,7,-68.5
"FEB",7.3,"SLA",8,4.9,0.7,-2.4,-6.6,0.31,0.29,0.09,0.08,26,34.8,26.8,30.6,2.8
"MAR",9.9,"SEL",7,6.81,2.5,-3.09,-7.4,0.32,0.4,0.13,0.15,24.3,19.26,11.5,-18.6,-47.3
"MAR",9.9,"WEL",5,10,4.3,0.1,-7.4,0.51,0.64,0.2,0.24,24.3,25.2,9.7,3.3,-54
"MAR",9.9,"NUT",37,10.9,2.4,1,2.4,0.56,0.5,0.13,0.13,24.3,24.8,4.5,1.8,-73.2
"MAR",9.9,"WLA",16,9.6,2.5,-0.3,-7.4,0.48,0.54,0.13,0.09,24.3,24,5.4,-1.1,-69.9
"MAR",9.9,"SLA",3,6.5,2.7,-3.4,-7.2,0.3,0.3,0.14,0.1,24.3,34.7,30.9,38.4,24.4
"APR",8.8,"SEL",2,6.8,6.2,-2,-2.6,0.39,0.33,0.35,0.27,19.1,22.05,13.3,13.5,-26.5
"APR",8.8,"WEL",11,8.8,4,0,-7.7,0.5,0.54,0.24,0.12,19.1,20,8.1,4.1,-50.4
"APR",8.8,"NUT",41,8.4,1,-0.4,1,0.48,0.5,0.12,0.1,19.1,19,3.6,-0.4,-70.9
"APR",8.8,"WLA",14,9.5,1.1,0.7,-7.7,0.54,0.48,0.13,0.2,19.1,17,4,-9.6,-69.1
