"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1923-01","22","-0.48","-1.12","-10.63"
"1924-04","1927-04","26","-0.96","-1.98","-24.92"
"1928-12","1929-11","11","-0.63","-1.2","-6.95"
"1930-02","1932-02","15","-0.8","-1.37","-12"
"1932-04","1934-12","24","-0.37","-1.18","-8.99"
"1935-01","1940-11","10","-0.68","-1.17","-6.75"
"1941-03","1943-01","20","-0.53","-1.47","-10.61"
"1944-01","1955-01","65","-0.53","-1.82","-34.31"
"1958-01","1962-03","40","-0.65","-1.7","-25.95"
"1962-11","1971-01","30","-0.6","-1.32","-17.86"
"1972-12","1974-02","14","-1.38","-2.33","-19.26"
"1977-01","1978-11","22","-1.08","-1.66","-23.87"
"1980-02","1981-12","11","-1.01","-1.51","-11.1"
"1983-03","1985-03","24","-1.28","-2.04","-30.6"
"1985-08","1986-05","5","-0.33","-1.03","-1.64"
"1987-09","1987-12","3","-0.49","-1.13","-1.46"
"1988-12","1993-02","16","-0.62","-1.12","-9.97"
"1993-04","1996-03","20","-0.56","-1.65","-11.25"
"1998-01","2002-01","48","-1.38","-2.75","-66.09"
"2003-01","2004-05","15","-1.23","-2.09","-18.41"
"2005-04","2006-03","11","-0.71","-1.52","-7.77"
"2007-03","2008-02","11","-0.5","-1.21","-5.55"
"2008-08","2014-08","72","-1.51","-3.21","-108.67"
"2016-01","2019-12","21","-0.29","-0.85","-6.08"
