"Date","Year","Month","RF"
"1920/01","1920","01","8.8"
"1920/02","1920","02","2.4"
"1920/03","1920","03","18.5"
"1920/04","1920","04","4.9"
"1920/05","1920","05","1.1"
"1920/06","1920","06","2.6"
"1920/07","1920","07","6.2"
"1920/08","1920","08","6.2"
"1920/09","1920","09","4.5"
"1920/10","1920","10","6.5"
"1920/11","1920","11","9.1"
"1920/12","1920","12","14.5"
"1921/01","1921","01","23.1"
"1921/02","1921","02","3"
"1921/03","1921","03","6.5"
"1921/04","1921","04","11"
"1921/05","1921","05","3.3"
"1921/06","1921","06","2.1"
"1921/07","1921","07","6.9"
"1921/08","1921","08","7.2"
"1921/09","1921","09","4.2"
"1921/10","1921","10","8.2"
"1921/11","1921","11","36.9"
"1921/12","1921","12","31.4"
"1922/01","1922","01","29.2"
"1922/02","1922","02","18.4"
"1922/03","1922","03","24.1"
"1922/04","1922","04","8.8"
"1922/05","1922","05","3.7"
"1922/06","1922","06","0.8"
"1922/07","1922","07","2.8"
"1922/08","1922","08","5.3"
"1922/09","1922","09","9"
"1922/10","1922","10","7.4"
"1922/11","1922","11","15.4"
"1922/12","1922","12","1.2"
"1923/01","1923","01","30"
"1923/02","1923","02","11.3"
"1923/03","1923","03","19.9"
"1923/04","1923","04","14.1"
"1923/05","1923","05","3.6"
"1923/06","1923","06","2.6"
"1923/07","1923","07","7.3"
"1923/08","1923","08","4.9"
"1923/09","1923","09","10.4"
"1923/10","1923","10","19.6"
"1923/11","1923","11","7.9"
"1923/12","1923","12","27.2"
"1924/01","1924","01","3.3"
"1924/02","1924","02","27.2"
"1924/03","1924","03","7.7"
"1924/04","1924","04","15"
"1924/05","1924","05","9.6"
"1924/06","1924","06","2.9"
"1924/07","1924","07","11"
"1924/08","1924","08","6.4"
"1924/09","1924","09","7.1"
"1924/10","1924","10","16.8"
"1924/11","1924","11","16.6"
"1924/12","1924","12","9.9"
"1925/01","1925","01","9.4"
"1925/02","1925","02","6.4"
"1925/03","1925","03","30.8"
"1925/04","1925","04","20.5"
"1925/05","1925","05","5.5"
"1925/06","1925","06","9.9"
"1925/07","1925","07","4.3"
"1925/08","1925","08","11.8"
"1925/09","1925","09","7.3"
"1925/10","1925","10","3.5"
"1925/11","1925","11","7.3"
"1925/12","1925","12","4.1"
"1926/01","1926","01","6.3"
"1926/02","1926","02","4.7"
"1926/03","1926","03","2.2"
"1926/04","1926","04","5.2"
"1926/05","1926","05","2.4"
"1926/06","1926","06","6"
"1926/07","1926","07","3.3"
"1926/08","1926","08","11.6"
"1926/09","1926","09","5.3"
"1926/10","1926","10","5.3"
"1926/11","1926","11","3.4"
"1926/12","1926","12","7.7"
"1927/01","1927","01","10.3"
"1927/02","1927","02","7.2"
"1927/03","1927","03","10.3"
"1927/04","1927","04","18.1"
"1927/05","1927","05","8.4"
"1927/06","1927","06","2.1"
"1927/07","1927","07","10.7"
"1927/08","1927","08","9.8"
"1927/09","1927","09","12"
"1927/10","1927","10","3.3"
"1927/11","1927","11","8.7"
"1927/12","1927","12","23.3"
"1928/01","1928","01","9.7"
"1928/02","1928","02","5.9"
"1928/03","1928","03","9.1"
"1928/04","1928","04","10.2"
"1928/05","1928","05","9.5"
"1928/06","1928","06","3.5"
"1928/07","1928","07","11"
"1928/08","1928","08","5.9"
"1928/09","1928","09","6.6"
"1928/10","1928","10","3.7"
"1928/11","1928","11","12.2"
"1928/12","1928","12","16.4"
"1929/01","1929","01","15.9"
"1929/02","1929","02","26.5"
"1929/03","1929","03","7.9"
"1929/04","1929","04","6.1"
"1929/05","1929","05","5.9"
"1929/06","1929","06","2.9"
"1929/07","1929","07","4.7"
"1929/08","1929","08","8.1"
"1929/09","1929","09","3.2"
"1929/10","1929","10","3.4"
"1929/11","1929","11","15.8"
"1929/12","1929","12","23.2"
"1930/01","1930","01","15.7"
"1930/02","1930","02","9.3"
"1930/03","1930","03","16.1"
