"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"JAN",5.5,"SEL",10,2.82,0,-2.68,-5.5,0.28,0.37,0.11,0.17,14.4,7.15,0.3,-42.3,-82.2
"JAN",5.5,"WEL",13,5.3,0.9,-0.2,-4.9,0.49,0.6,0.16,0.22,14.4,12.5,1.9,-11.1,-72.9
"JAN",5.5,"NUT",20,6.7,0.6,1.2,0.6,0.61,0.5,0.14,0.06,14.4,16.5,1.7,12.3,-74.1
"JAN",5.5,"WLA",17,5.9,0.6,0.4,-4.9,0.54,0.5,0.14,0.14,14.4,16.1,2.9,9.9,-67.1
"JAN",5.5,"SLA",10,5.8,0.2,0.3,-5.3,0.53,0.5,0.12,0.13,14.4,14.6,0.9,1.2,-78.7
"FEB",4.3,"SEL",9,2.07,0.1,-2.23,-4.2,0.27,0.35,0.12,0.14,12.5,6.38,0.8,-40.1,-76.7
"FEB",4.3,"WEL",8,3.9,1,-0.4,-2.9,0.46,0.6,0.18,0.23,12.5,9.1,1.8,-22.3,-70.2
"FEB",4.3,"NUT",27,4.7,0.8,0.4,0.8,0.55,0.5,0.16,0.17,12.5,13.7,1.4,7.9,-72.8
"FEB",4.3,"WLA",16,5.1,1.4,0.8,-2.9,0.59,0.55,0.21,0.15,12.5,14.2,2.6,11.2,-64.9
"FEB",4.3,"SLA",8,3.4,0.1,-0.9,-4.2,0.4,0.34,0.12,0.08,12.5,19.6,11.5,46.6,-6.6
"MAR",4.6,"SEL",7,2.26,0.2,-2.34,-4.4,0.29,0.45,0.15,0.21,10.5,6.76,1.9,-28.2,-64.9
"MAR",4.6,"WEL",5,3.3,0,-1.3,-3.7,0.38,0.58,0.14,0.19,10.5,7.9,1.1,-19.6,-70.9
"MAR",4.6,"NUT",37,5.1,0.3,0.5,0.3,0.54,0.5,0.16,0.15,10.5,11.6,0.6,8.3,-74.7
"MAR",4.6,"WLA",16,5.1,0.9,0.5,-3.7,0.54,0.52,0.2,0.19,10.5,11,1.4,3.8,-68.7
"MAR",4.6,"SLA",3,5.4,0.6,0.8,-4,0.57,0.55,0.18,0.17,10.5,17.4,12.6,52.1,15.9
"APR",3.6,"SEL",2,2.05,0.5,-1.55,-3.1,0.35,0.55,0.21,0.1,6.3,5.13,2,-12.9,-47.5
"APR",3.6,"WEL",11,1.9,0.8,-1.7,-3.3,0.33,0.49,0.24,0.16,6.3,5.1,1.2,-13.3,-56.4
"APR",3.6,"NUT",41,3.9,0.3,0.3,0.3,0.53,0.5,0.2,0.21,6.3,6.9,0.3,6.6,-66.3
"APR",3.6,"WLA",14,4,0.3,0.4,-3.3,0.54,0.47,0.2,0.15,6.3,6.3,0.6,0,-63
"APR",3.6,"SLA",1,10.8,10.8,7.2,7.2,0.97,0.96,0.97,0.96,6.3,12.2,12.1,65.2,64.1
"MAY",2.3,"SEL",2,2.45,1.2,0.15,-1.1,0.53,0.47,0.33,0.33,3.4,3.76,1.6,5.8,-29.3
"MAY",2.3,"WEL",14,2.7,0.3,0.4,-2.1,0.57,0.5,0.21,0.24,3.4,3.7,0.4,4.9,-48.8
"MAY",2.3,"NUT",40,2.6,0,0.3,0,0.55,0.5,0.17,0.19,3.4,3.8,0.1,6.5,-53.6
"MAY",2.3,"WLA",12,1.9,0.2,-0.4,-2.1,0.44,0.5,0.19,0.11,3.4,3,0.3,-6.5,-50.5
"MAY",2.3,"SLA",1,1.2,1.2,-1.1,-1.1,0.33,0.31,0.33,0.31,3.4,1.8,1.5,-26.1,-30.9
"JUN",0.4,"SEL",3,0.63,0.3,0.23,-0.1,0.68,0.62,0.37,0.28,2.1,2.84,0.5,15.2,-33
"JUN",0.4,"WEL",12,0.5,0.1,0.1,-0.3,0.56,0.49,0.21,0.13,2.1,2.6,0.3,10.3,-37.2
"JUN",0.4,"NUT",40,0.4,0,0,0,0.47,0.47,0.15,0.17,2.1,2.2,0.2,2,-39.2
"JUN",0.4,"WLA",11,0.4,0.1,0,-0.3,0.47,0.53,0.21,0.25,2.1,1.7,0.1,-8.3,-41.2
"JUN",0.4,"SLA",2,0.2,0.1,-0.2,-0.3,0.29,0.34,0.21,0.25,2.1,0.7,0.3,-28.9,-37.2
"JUL",0.7,"SEL",6,0.68,0.1,-0.02,-0.6,0.49,0.61,0.24,0.17,2.8,4.63,0.8,32.9,-36.1
"JUL",0.7,"WEL",8,0.5,0,-0.2,-0.7,0.41,0.45,0.2,0.12,2.8,2.7,0.3,-1.8,-45.1
"JUL",0.7,"NUT",41,0.8,0.1,0.1,0.1,0.55,0.5,0.24,0.24,2.8,2.8,0.2,0,-46.9
"JUL",0.7,"WLA",9,0.7,0,0,-0.7,0.5,0.65,0.2,0.16,2.8,2.6,0.2,-3.6,-46.9
"JUL",0.7,"SLA",2,0.4,0.2,-0.3,-0.5,0.36,0.42,0.28,0.28,2.8,1,0.4,-32.5,-43.3
"AUG",1,"SEL",7,1.53,0.1,0.53,-0.9,0.65,0.49,0.25,0.21,4.8,7.09,1.1,30.3,-49
"AUG",1,"WEL",12,1.6,0.2,0.6,-1,0.67,0.5,0.27,0.23,4.8,4.8,0.7,0,-54.3
"AUG",1,"NUT",34,1,0.1,0,0.1,0.49,0.5,0.25,0.23,4.8,5.2,0.3,5.3,-59.6
"AUG",1,"WLA",12,0.6,0,-0.4,-1,0.38,0.65,0.22,0.17,4.8,4.2,0.9,-8,-51.7
"AUG",1,"SLA",5,0.1,0,-0.9,-1,0.25,0.23,0.22,0.17,4.8,1.7,0.6,-41.1,-55.6
"SEP",1.1,"SEL",8,2.42,0.6,1.32,-0.5,0.88,0.74,0.32,0.29,7.5,8.45,1.2,9.3,-61.5
"SEP",1.1,"WEL",8,0.6,0.1,-0.5,-0.9,0.32,0.29,0.18,0.19,7.5,5.2,1.2,-22.5,-61.5
"SEP",1.1,"NUT",36,1,0,-0.1,0,0.45,0.51,0.16,0.15,7.5,9.1,0.5,15.6,-68.3
"SEP",1.1,"WLA",11,1.3,0.2,0.2,-0.9,0.56,0.63,0.2,0.21,7.5,9,2.1,14.6,-52.7
"SEP",1.1,"SLA",5,0.5,0.2,-0.6,-0.9,0.29,0.3,0.2,0.21,7.5,4.2,1.1,-32.2,-62.4
"OCT",2.7,"SEL",10,3.14,0.4,0.44,-2.3,0.57,0.56,0.18,0.19,11.6,8.65,1.5,-20.6,-70.4
"OCT",2.7,"WEL",10,2.6,0.4,-0.1,-2,0.48,0.47,0.18,0.19,11.6,8.8,1.4,-19.5,-71.1
"OCT",2.7,"NUT",30,3.2,0.2,0.5,0.2,0.58,0.49,0.16,0.15,11.6,13.1,1.4,10.4,-71.1
"OCT",2.7,"WLA",10,2.3,0.7,-0.4,-2,0.44,0.66,0.21,0.22,11.6,14.6,2,20.9,-66.9
"OCT",2.7,"SLA",8,1.1,0.4,-1.6,-2.3,0.26,0.31,0.18,0.16,11.6,12.6,2.3,7,-64.8
"NOV",3.7,"SEL",14,2.89,0.2,-0.81,-3.5,0.4,0.59,0.14,0.09,14.4,8.33,1.1,-35.4,-77.6
"NOV",3.7,"WEL",12,2,0.7,-1.7,-2.5,0.3,0.39,0.18,0.15,14.4,11.5,1.9,-16.9,-72.9
"NOV",3.7,"NUT",22,4.9,0.3,1.2,0.3,0.64,0.5,0.15,0.13,14.4,16.6,1.8,12.8,-73.5
"NOV",3.7,"WLA",11,5.4,1.2,1.7,-2.5,0.7,0.66,0.22,0.2,14.4,18.2,1.9,22.2,-72.9
"NOV",3.7,"SLA",11,2.6,0.5,-1.1,-3.2,0.37,0.34,0.17,0.15,14.4,17.3,2.1,16.9,-71.7
"DEC",5.2,"SEL",13,2.62,0.9,-2.58,-4.3,0.28,0.39,0.17,0.24,15,7.51,1,-42.2,-78.9
"DEC",5.2,"WEL",11,4.2,0.3,-1,-5.1,0.41,0.56,0.13,0.19,15,13.4,2.2,-9,-72.1
"DEC",5.2,"NUT",22,5,0.9,-0.2,0.9,0.48,0.51,0.17,0.1,15,16.4,2.3,7.9,-71.6
"DEC",5.2,"WLA",11,6.9,0.1,1.7,-5.1,0.65,0.48,0.12,0.09,15,17.9,2.1,16.3,-72.7
