"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1921-12","1927-04","21","-0.49","-1.08","-10.22"
"1928-12","1934-10","44","-0.48","-1.26","-21.24"
"1934-12","1942-12","40","-0.47","-1.29","-18.74"
"1943-12","1944-03","3","-0.7","-1.09","-2.09"
"1944-04","1946-01","21","-0.59","-2.46","-12.47"
"1946-04","1946-12","8","-0.82","-1","-6.58"
"1947-01","1950-08","19","-0.37","-1.01","-6.94"
"1952-03","1954-12","33","-1.09","-2.05","-36.04"
"1957-04","1958-07","15","-0.53","-1.3","-7.97"
"1960-01","1961-10","21","-0.63","-1.26","-13.33"
"1962-10","1965-01","12","-0.72","-1.13","-8.69"
"1966-08","1974-01","41","-0.82","-1.75","-33.62"
"1975-01","1978-12","46","-0.86","-2.15","-39.49"
"1981-03","1985-11","42","-0.65","-1.41","-27.38"
"1986-01","1993-03","32","-0.48","-1.39","-15.51"
"1993-05","1996-11","41","-0.66","-1.85","-27.13"
"1998-02","2002-03","49","-1.49","-2.31","-73.22"
"2003-03","2004-02","11","-0.9","-1.63","-9.93"
"2005-04","2007-12","21","-0.55","-1.65","-11.52"
"2008-03","2014-03","71","-1.13","-2.45","-79.94"
"2016-02","2019-12","19","-0.31","-0.93","-5.97"
