"DT","SP"
1920-01-01,0
1920-02-01,0
1920-03-01,0
1920-04-01,0
1920-05-01,0
1920-06-01,0
1920-07-01,0
1920-08-01,0
1920-09-01,0
1920-10-01,0
1920-11-01,0
1920-12-01,0.0628455971749356
1921-01-01,0
1921-02-01,0
1921-03-01,0
1921-04-01,0
1921-05-01,0
1921-06-01,0
1921-07-01,0
1921-08-01,0
1921-09-01,0
1921-10-01,0
1921-11-01,0
1921-12-01,0
1922-01-01,0
1922-02-01,0
1922-03-01,0
1922-04-01,0
1922-05-01,0
1922-06-01,0
1922-07-01,0
1922-08-01,0
1922-09-01,0
1922-10-01,0
1922-11-01,0
1922-12-01,0
1923-01-01,0
1923-02-01,0
1923-03-01,0
1923-04-01,0
1923-05-01,0
1923-06-01,0
1923-07-01,0
1923-08-01,0
1923-09-01,0
1923-10-01,0
1923-11-01,0
1923-12-01,0
1924-01-01,0
1924-02-01,0
1924-03-01,0.612669060361847
1924-04-01,0.154095582920121
1924-05-01,0
1924-06-01,0.0412077613471318
1924-07-01,0
1924-08-01,0
1924-09-01,0
1924-10-01,0
1924-11-01,0
1924-12-01,0
1925-01-01,0
1925-02-01,0
1925-03-01,0
1925-04-01,0
1925-05-01,0
1925-06-01,0
1925-07-01,0.00989716921552241
1925-08-01,0
1925-09-01,0
1925-10-01,0.112365663548881
1925-11-01,0.234907994290162
1925-12-01,0.492577443351658
1926-01-01,0.58379882188245
1926-02-01,0.643378462589572
1926-03-01,1.30297699561624
1926-04-01,1.51316698329351
1926-05-01,1.63003465996281
1926-06-01,1.30246707185386
1926-07-01,1.47076731032524
1926-08-01,1.23106833796209
1926-09-01,1.30189669261132
1926-10-01,1.23000040813898
1926-11-01,1.37265132922045
1926-12-01,1.5219425927354
1927-01-01,0.993025974222978
1927-02-01,0.89278554860099
1927-03-01,0.0318250202443927
1927-04-01,0
1927-05-01,0
1927-06-01,0
1927-07-01,0
1927-08-01,0
1927-09-01,0
1927-10-01,0
1927-11-01,0
1927-12-01,0
1928-01-01,0
1928-02-01,0
1928-03-01,0
1928-04-01,0
1928-05-01,0
1928-06-01,0
1928-07-01,0
1928-08-01,0
1928-09-01,0
1928-10-01,0
1928-11-01,0
1928-12-01,1.2058317013579
1929-01-01,1.07003372318254
1929-02-01,0.413213540380961
1929-03-01,0.351270078880087
1929-04-01,0.547889210485705
1929-05-01,0.565462906208205
1929-06-01,0.619957917064469
1929-07-01,0.495093657661018
1929-08-01,0.329184191959
1929-09-01,0.214317166442108
1929-10-01,0.37272902436575
1929-11-01,0
1929-12-01,0
1930-01-01,0
1930-02-01,0
1930-03-01,0
1930-04-01,0
1930-05-01,0
1930-06-01,0
1930-07-01,0
1930-08-01,0
1930-09-01,0
1930-10-01,0
1930-11-01,0
1930-12-01,0
1931-01-01,0.00295833781029077
1931-02-01,0
1931-03-01,0.37675614140946
1931-04-01,0.26697644874334
1931-05-01,0.0537731222595648
1931-06-01,0.0980925767785225
1931-07-01,0
1931-08-01,0
1931-09-01,0.0481924550655217
1931-10-01,0.256712851622156
1931-11-01,0.592558979895869
1931-12-01,0.54811181215451
1932-01-01,0
1932-02-01,0
1932-03-01,0
1932-04-01,0
1932-05-01,0
1932-06-01,0
1932-07-01,0
1932-08-01,0
1932-09-01,0
1932-10-01,0
1932-11-01,0
1932-12-01,0
1933-01-01,0
1933-02-01,0
1933-03-01,0
1933-04-01,0
1933-05-01,0
1933-06-01,0
1933-07-01,0
1933-08-01,0.0429439333816124
1933-09-01,0.149782703182151
1933-10-01,0.168347353213401
1933-11-01,0.241554392581458
1933-12-01,0
1934-01-01,0.110088075135019
1934-02-01,0.446371405068996
1934-03-01,0.904417660455255
1934-04-01,0.941215418072269
1934-05-01,0.928813685347151
1934-06-01,0.683898850676178
1934-07-01,0.627697339383532
1934-08-01,0.527112617202332
1934-09-01,0.162624297201656
1934-10-01,0.032598605514775
1934-11-01,0.0585906640937498
1934-12-01,0.26984908001956
1935-01-01,0.103724316315761
1935-02-01,0
1935-03-01,0
1935-04-01,0
1935-05-01,0
1935-06-01,0
1935-07-01,0
1935-08-01,0
1935-09-01,0.0168518548947535
1935-10-01,0
1935-11-01,0
1935-12-01,0.0565089204522464
1936-01-01,0.174164558518871
1936-02-01,0.567682607541483
1936-03-01,0.565837439588374
1936-04-01,0.389059073287497
1936-05-01,0.339756389864999
1936-06-01,0.378999930251896
1936-07-01,0.312605581808115
1936-08-01,0.349299418366415
1936-09-01,0.194870648114476
1936-10-01,0
1936-11-01,0.097262172473545
1936-12-01,0
1937-01-01,0
1937-02-01,0
1937-03-01,0
1937-04-01,0
1937-05-01,0
1937-06-01,0
1937-07-01,0
1937-08-01,0
1937-09-01,0
1937-10-01,0
1937-11-01,0
1937-12-01,0
1938-01-01,0
1938-02-01,0
1938-03-01,0
1938-04-01,0
1938-05-01,0
1938-06-01,0
1938-07-01,0
1938-08-01,0
1938-09-01,0
1938-10-01,0
1938-11-01,0
1938-12-01,0
1939-01-01,0
1939-02-01,0
1939-03-01,0
1939-04-01,0
1939-05-01,0
1939-06-01,0
1939-07-01,0
1939-08-01,0
1939-09-01,0
1939-10-01,0
1939-11-01,0
1939-12-01,0
1940-01-01,0
1940-02-01,0
1940-03-01,0
1940-04-01,0.60205153694922
1940-05-01,0.707502423910795
1940-06-01,0.807063110026256
1940-07-01,0.785938384380631
1940-08-01,0.611392129581839
1940-09-01,0.577956379812936
1940-10-01,0.572550480065925
1940-11-01,0.479788965389157
1940-12-01,0.410430531570775
1941-01-01,0.955000741890654
1941-02-01,1.01151374328806
1941-03-01,0.933236204057116
1941-04-01,1.04517574402803
1941-05-01,1.1294966928056
1941-06-01,1.05579475834885
1941-07-01,1.10367671060347
1941-08-01,1.25539464815929
1941-09-01,1.43463718423388
1941-10-01,0.212331399088468
1941-11-01,0.438146625764946
1941-12-01,0.478791235655839
1942-01-01,0.583798821882451
1942-02-01,0.282810876520685
1942-03-01,0
1942-04-01,0
1942-05-01,0
1942-06-01,0
1942-07-01,0
1942-08-01,0
1942-09-01,0
1942-10-01,0.295077604734685
1942-11-01,0.129707235704928
1942-12-01,0
1943-01-01,0
1943-02-01,0
1943-03-01,0
1943-04-01,0
1943-05-01,0
1943-06-01,0
1943-07-01,0
1943-08-01,0
1943-09-01,0
1943-10-01,0
1943-11-01,0
1943-12-01,0.296325325491401
1944-01-01,1.14836505871358
1944-02-01,0.89278554860099
1944-03-01,0.447569248156424
1944-04-01,0.514354521194718
1944-05-01,0.593539338931274
1944-06-01,0.494557062372793
1944-07-01,0.508883335850628
1944-08-01,0.527112617202331
1944-09-01,0.522361726770485
1944-10-01,0.40545639805832
1944-11-01,0.39684515925202
1944-12-01,0.152383681776022
1945-01-01,0.258688996347614
1945-02-01,0.615711333071349
1945-03-01,1.05046854710214
1945-04-01,0
1945-05-01,0
1945-06-01,0.142775314077762
1945-07-01,0.066496162443374
1945-08-01,0.0746808831097926
