"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"JAN",3.6,"SEL",10,2.16,0.5,-1.44,-3.1,0.33,0.4,0.17,0.21,9.1,5.83,1.5,-27.6,-64.2
"JAN",3.6,"WEL",13,3.5,0.2,-0.1,-3.4,0.49,0.57,0.15,0.18,9.1,8.2,1.4,-7.6,-65
"JAN",3.6,"NUT",20,4.8,0.3,1.2,0.3,0.65,0.5,0.16,0.12,9.1,10.3,0.7,10.1,-70.9
"JAN",3.6,"WLA",17,3.1,0.2,-0.5,-3.4,0.44,0.45,0.15,0.13,9.1,9.8,0.9,5.9,-69.2
"JAN",3.6,"SLA",10,4,0.6,0.4,-3,0.55,0.58,0.18,0.16,9.1,8.7,1,-3.4,-68.4
"FEB",2.6,"SEL",9,1.37,0.5,-1.23,-2.1,0.29,0.34,0.17,0.2,7,4.07,1.3,-30.1,-58.5
"FEB",2.6,"WEL",8,2.4,0.7,-0.2,-2.1,0.46,0.54,0.19,0.23,7,6,1.5,-10.3,-56.4
"FEB",2.6,"NUT",27,2.7,0.4,0.1,0.4,0.51,0.5,0.16,0.18,7,7.1,0.5,1,-66.7
"FEB",2.6,"WLA",16,3.1,0.5,0.5,-2.1,0.58,0.54,0.17,0.12,7,8.3,0.8,13.3,-63.6
"FEB",2.6,"SLA",8,2,0.1,-0.6,-2.5,0.39,0.34,0.13,0.09,7,10.3,6,33.8,-10.3
"MAR",2.9,"SEL",7,2.3,0.5,-0.6,-2.4,0.43,0.5,0.22,0.24,5.6,4.3,1.3,-15.6,-51.5
"MAR",2.9,"WEL",5,2.3,0.5,-0.6,-2.7,0.43,0.5,0.22,0.24,5.6,4.9,0.8,-8.4,-57.5
"MAR",2.9,"NUT",37,2.8,0,-0.1,0,0.49,0.51,0.17,0.16,5.6,5.8,0.1,2.4,-65.9
"MAR",2.9,"WLA",16,3.6,0.2,0.7,-2.7,0.6,0.53,0.19,0.19,5.6,5.7,0.3,1.2,-63.5
"MAR",2.9,"SLA",3,2.7,0.3,-0.2,-2.6,0.48,0.43,0.2,0.2,5.6,9.7,7.3,49.1,20.4
"APR",1.5,"SEL",2,0.4,0.3,-1.1,-1.2,0.24,0.23,0.22,0.2,3.2,2.6,1.2,-10.1,-33.6
"APR",1.5,"WEL",11,1.3,0.3,-0.2,-1.4,0.44,0.56,0.22,0.2,3.2,3,0.4,-3.4,-47.1
"APR",1.5,"NUT",41,1.6,0.1,0.1,0.1,0.52,0.51,0.19,0.2,3.2,3.5,0.1,5,-52.1
"APR",1.5,"WLA",14,1.6,0.1,0.1,-1.4,0.52,0.46,0.19,0.17,3.2,2.5,0.1,-11.8,-52.1
"APR",1.5,"SLA",1,5.6,5.6,4.1,4.1,0.99,0.99,0.99,0.99,3.2,7.1,7.1,65.6,65.6
"MAY",1.2,"SEL",2,1.6,0.5,0.4,-0.7,0.64,0.58,0.28,0.26,2.4,2.87,0.9,9.1,-29.1
"MAY",1.2,"WEL",14,1.3,0,0.1,-1.2,0.54,0.49,0.16,0.15,2.4,2.3,0.2,-1.9,-42.7
"MAY",1.2,"NUT",40,1.4,0,0.2,0,0.58,0.52,0.16,0.14,2.4,2.6,0.1,3.9,-44.6
"MAY",1.2,"WLA",12,0.5,0,-0.7,-1.2,0.28,0.41,0.16,0.12,2.4,1.7,0,-13.6,-46.6
"MAY",1.2,"SLA",1,1.4,1.4,0.2,0.2,0.58,0.93,0.58,0.93,2.4,1.9,1.9,-9.7,-9.7
