"DT","SP"
1920-01-01,0
1920-02-01,0
1920-03-01,0
1920-04-01,0
1920-05-01,0
1920-06-01,0
1920-07-01,0
1920-08-01,0
1920-09-01,0
1920-10-01,0
1920-11-01,0
1920-12-01,0.555012080548063
1921-01-01,0
1921-02-01,0
1921-03-01,0
1921-04-01,0
1921-05-01,0
1921-06-01,0
1921-07-01,0
1921-08-01,0
1921-09-01,0
1921-10-01,0
1921-11-01,0
1921-12-01,0
1922-01-01,0.403594446933199
1922-02-01,0.150443561807261
1922-03-01,0
1922-04-01,0
1922-05-01,0
1922-06-01,0
1922-07-01,0
1922-08-01,0
1922-09-01,0
1922-10-01,0
1922-11-01,0
1922-12-01,0.501996984863415
1923-01-01,0
1923-02-01,0
1923-03-01,0
1923-04-01,0
1923-05-01,0
1923-06-01,0
1923-07-01,0
1923-08-01,0
1923-09-01,0
1923-10-01,0
1923-11-01,0
1923-12-01,0
1924-01-01,0
1924-02-01,0
1924-03-01,0.109493000818415
1924-04-01,0.155707422955881
1924-05-01,0
1924-06-01,0.124511592122564
1924-07-01,0.108126455791066
1924-08-01,0.0821550819732188
1924-09-01,0
1924-10-01,0
1924-11-01,0
1924-12-01,0.195296539493657
1925-01-01,0
1925-02-01,0
1925-03-01,0
1925-04-01,0.0712791912885467
1925-05-01,0.223967632782296
1925-06-01,0.0528701562437151
1925-07-01,0.108126455791066
1925-08-01,0.0955276477287962
1925-09-01,0.254209168725184
1925-10-01,0.368300304407864
1925-11-01,0.188490147972312
1925-12-01,0.304661402951478
1926-01-01,0.456700082962941
1926-02-01,0.547232858540549
1926-03-01,0.792672041705324
1926-04-01,1.11723480463839
1926-05-01,1.23805500447252
1926-06-01,0.971640967543983
1926-07-01,1.01465156392736
1926-08-01,0.997398768414467
1926-09-01,0.92150682237404
1926-10-01,0.787579329876139
1926-11-01,1.17329142375858
1926-12-01,1.2030693752898
1927-01-01,0.569578988616964
1927-02-01,0.200692369438426
1927-03-01,0
1927-04-01,0
1927-05-01,0
1927-06-01,0
1927-07-01,0
1927-08-01,0
1927-09-01,0
1927-10-01,0
1927-11-01,0
1927-12-01,0
1928-01-01,0
1928-02-01,0
1928-03-01,0
1928-04-01,0
1928-05-01,0
1928-06-01,0
1928-07-01,0
1928-08-01,0
1928-09-01,0
1928-10-01,0
1928-11-01,0
1928-12-01,0.267942742662888
1929-01-01,0.261506213659901
1929-02-01,0.100673269877423
1929-03-01,0
1929-04-01,0.128896108924985
1929-05-01,0.205455615030281
1929-06-01,0.373873616651155
1929-07-01,0.604068719837864
1929-08-01,0.601811492538307
1929-09-01,0.588583525468504
1929-10-01,0.518312051556411
1929-11-01,0.413402659621564
1929-12-01,0
1930-01-01,0
1930-02-01,0
1930-03-01,0
1930-04-01,0
1930-05-01,0
1930-06-01,0
1930-07-01,0
1930-08-01,0
1930-09-01,0
1930-10-01,0
1930-11-01,0
1930-12-01,0
1931-01-01,0.242853854001557
1931-02-01,0.41629035277857
1931-03-01,0.663698655562394
1931-04-01,0.810608216362614
1931-05-01,0.659207384399599
1931-06-01,0.681224909155198
1931-07-01,0.604068719837864
1931-08-01,0.456001352377778
1931-09-01,0.420932826298986
1931-10-01,0.391439059914237
1931-11-01,0.653775248132047
1931-12-01,0.411752525498511
1932-01-01,0.150582200195064
1932-02-01,0
1932-03-01,0
1932-04-01,0
1932-05-01,0
1932-06-01,0
1932-07-01,0
1932-08-01,0
1932-09-01,0
1932-10-01,0
1932-11-01,0
1932-12-01,0
1933-01-01,0
1933-02-01,0.691816866797463
1933-03-01,0.547690606286729
1933-04-01,0.898409572681782
1933-05-01,0.999101712510153
1933-06-01,1.05798025617878
1933-07-01,0.987919508928216
1933-08-01,1.07301108439635
1933-09-01,1.15738541556104
1933-10-01,1.19278498704466
1933-11-01,1.39132736728659
1933-12-01,1.09309944448657
1934-01-01,1.31968874446977
1934-02-01,1.6043612037849
1934-03-01,1.94006372896229
1934-04-01,1.39337514575889
1934-05-01,1.05907999682666
1934-06-01,0.855443566615503
1934-07-01,0.794696138590895
1934-08-01,0.696444246168093
1934-09-01,0.468252420552643
1934-10-01,0.382170516272119
1934-11-01,0.234544808647149
1934-12-01,0.50679286236046
1935-01-01,0.327324960984232
1935-02-01,0
1935-03-01,0
1935-04-01,0
1935-05-01,0.0551725407430009
1935-06-01,0.124511592122564
1935-07-01,0.188997839599365
1935-08-01,0.235766152698692
1935-09-01,0.378727940084736
1935-10-01,0.304082066844617
1935-11-01,0.48576935963093
1935-12-01,0.574434072724878
1936-01-01,0.736141065097388
1936-02-01,1.20955069554192
1936-03-01,1.38839141079115
1936-04-01,1.21112519975928
1936-05-01,0.955952553443312
1936-06-01,0.944981548016695
1936-07-01,0.799816068298954
1936-08-01,0.706513401704741
1936-09-01,0.525642286229729
1936-10-01,0.240682317489571
1936-11-01,0.202263765952052
1936-12-01,0
1937-01-01,0
1937-02-01,0
1937-03-01,0
1937-04-01,0
1937-05-01,0
1937-06-01,0
1937-07-01,0
1937-08-01,0
1937-09-01,0
1937-10-01,0
1937-11-01,0
1937-12-01,0
1938-01-01,0
1938-02-01,0
1938-03-01,0
1938-04-01,0
1938-05-01,0
1938-06-01,0
1938-07-01,0
1938-08-01,0
1938-09-01,0
1938-10-01,0
1938-11-01,0
1938-12-01,0
1939-01-01,0
1939-02-01,0
1939-03-01,0
1939-04-01,0
1939-05-01,0
1939-06-01,0
1939-07-01,0
1939-08-01,0
1939-09-01,0
1939-10-01,0
1939-11-01,0
1939-12-01,0
1940-01-01,0
1940-02-01,0
1940-03-01,0
1940-04-01,0
1940-05-01,0
1940-06-01,0
1940-07-01,0
1940-08-01,0
1940-09-01,0
1940-10-01,0
1940-11-01,0
1940-12-01,0
1941-01-01,0
1941-02-01,0.0469103614616853
1941-03-01,0.0357516028791871
1941-04-01,0.0801016271473688
1941-05-01,0.451443932673546
1941-06-01,0.369143807125468
1941-07-01,0.34532711195014
1941-08-01,0.49929603524673
1941-09-01,0.637560610005696
1941-10-01,0.169193517268749
1941-11-01,0.519899497889563
1941-12-01,0.870422281521783
1942-01-01,1.02162720693875
1942-02-01,0.727362347850196
1942-03-01,0.122618072796901
1942-04-01,0
1942-05-01,0.0193741939122451
1942-06-01,0
1942-07-01,0
1942-08-01,0
1942-09-01,0
1942-10-01,0.272281582125923
1942-11-01,0.0437816372702089
1942-12-01,0
1943-01-01,0
1943-02-01,0
1943-03-01,0
1943-04-01,0
1943-05-01,0
1943-06-01,0
1943-07-01,0
1943-08-01,0
1943-09-01,0
1943-10-01,0
1943-11-01,0
1943-12-01,0
1944-01-01,0.266179819546377
1944-02-01,0
1944-03-01,0
1944-04-01,0
1944-05-01,0.21470341167612
1944-06-01,0.165245147824295
1944-07-01,0.229914982359631
1944-08-01,0.403589810611679
1944-09-01,0.482537196813898
1944-10-01,0.382170516272119
1944-11-01,0.0930775557040174
1944-12-01,0.150414301615438
