"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1923-04","25","-0.41","-1.53","-10.34"
"1924-01","1927-04","29","-0.73","-1.23","-21.3"
"1927-09","1929-11","14","-0.92","-1.83","-12.87"
"1931-01","1932-02","13","-0.62","-1.13","-8.05"
"1932-04","1942-11","71","-0.53","-1.81","-37.98"
"1943-12","1946-01","24","-0.51","-2.31","-12.29"
"1946-04","1948-01","21","-0.57","-1.13","-12.02"
"1949-04","1954-12","45","-0.99","-2.07","-44.7"
"1957-10","1961-01","24","-0.88","-2.29","-21.17"
"1962-11","1971-01","27","-0.95","-1.61","-25.53"
"1971-11","1974-02","22","-0.77","-1.54","-16.84"
"1975-07","1979-01","42","-0.86","-1.76","-36.32"
"1981-02","1982-01","11","-0.76","-1.13","-8.37"
"1983-03","1985-10","31","-0.83","-1.52","-25.73"
"1986-11","1996-11","61","-0.65","-2.19","-39.8"
"1998-03","2002-02","47","-1.09","-1.73","-51"
"2003-05","2014-03","86","-0.91","-2.17","-77.93"
"2016-08","2019-12","6","-0.13","-0.47","-0.77"
