"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1922-01","1927-03","38","-0.78","-1.78","-29.74"
"1928-12","1929-12","12","-0.88","-1.12","-10.59"
"1931-01","1932-02","13","-0.8","-1.26","-10.34"
"1934-02","1934-11","9","-0.56","-1.19","-5.07"
"1934-12","1942-12","35","-0.69","-1.57","-23.99"
"1943-12","1945-12","24","-0.43","-1.98","-10.27"
"1946-04","1948-02","22","-0.51","-1.06","-11.31"
"1950-02","1954-11","29","-0.97","-2.07","-28.04"
"1958-01","1958-03","2","-0.99","-1.16","-1.98"
"1959-03","1962-03","36","-0.91","-1.73","-32.93"
"1964-04","1964-12","8","-0.79","-1.03","-6.29"
"1967-02","1971-02","14","-0.63","-1","-8.86"
"1973-02","1974-04","14","-0.8","-1.36","-11.18"
"1975-09","1978-10","23","-0.82","-1.78","-18.84"
"1980-02","1982-01","15","-0.69","-1.16","-10.39"
"1983-10","1985-02","16","-0.99","-1.51","-15.85"
"1985-04","1996-11","74","-0.62","-1.74","-45.95"
"1998-01","2004-02","73","-1.27","-2.27","-92.65"
"2005-12","2011-02","50","-0.62","-1.16","-31.22"
"2011-12","2015-09","45","-0.78","-1.65","-34.98"
"2015-10","2019-12","50","-0.91","-1.74","-45.31"
