"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"JAN",4.7,"SEL",10,2.9,0.7,-1.8,-4,0.34,0.44,0.17,0.19,12.9,8.7,2.2,-26.8,-68.4
"JAN",4.7,"WEL",13,3.7,0.7,-1,-4.1,0.41,0.55,0.17,0.19,12.9,9.6,2.2,-21.1,-68.4
"JAN",4.7,"NUT",20,6.2,1.1,1.5,1.1,0.64,0.5,0.2,0.17,12.9,14.3,2.2,9,-68.4
"JAN",4.7,"WLA",17,4.5,0.6,-0.2,-4.1,0.48,0.45,0.17,0.13,12.9,14.3,3,9,-63.3
"JAN",4.7,"SLA",10,6,1,1.3,-3.7,0.62,0.6,0.19,0.15,12.9,12.3,2.2,-3.8,-68.4
"FEB",3.9,"SEL",9,2.26,0.6,-1.64,-3.3,0.33,0.36,0.18,0.12,10.3,7.2,2.2,-23.7,-62.1
"FEB",3.9,"WEL",8,3.2,0.9,-0.7,-2.6,0.42,0.54,0.2,0.15,10.3,7.1,1.9,-24.5,-64.4
"FEB",3.9,"NUT",27,3.6,0.8,-0.3,0.8,0.47,0.5,0.2,0.17,10.3,10.3,1.4,0,-68.2
"FEB",3.9,"WLA",16,4.7,1.3,0.8,-2.6,0.59,0.49,0.24,0.23,10.3,12.2,3,14.6,-56
"FEB",3.9,"SLA",8,3,0.3,-0.9,-3.6,0.4,0.35,0.16,0.18,10.3,10,4.9,-2.3,-41.4
"MAR",4.3,"SEL",7,3.54,0.9,-0.76,-3.4,0.42,0.54,0.2,0.27,8,6.09,2.5,-17.8,-51.2
"MAR",4.3,"WEL",5,2.7,0.6,-1.6,-3.2,0.34,0.45,0.18,0.24,8,5.5,1.3,-23.3,-62.4
"MAR",4.3,"NUT",37,4.5,0.3,0.2,0.3,0.52,0.5,0.16,0.16,8,8.5,0.8,4.7,-67
"MAR",4.3,"WLA",16,5.1,1.1,0.8,-3.2,0.58,0.55,0.21,0.18,8,8.7,1.8,6.5,-57.7
"MAR",4.3,"SLA",3,3.3,0.9,-1,-3.4,0.4,0.36,0.2,0.16,8,8.1,5.7,0.9,-21.4
"APR",2.1,"SEL",2,1.4,0.7,-0.7,-1.4,0.36,0.57,0.23,0.24,4.6,3.58,2.3,-13.9,-31.3
"APR",2.1,"WEL",11,1.2,0.4,-0.9,-1.5,0.32,0.47,0.19,0.14,4.6,3.8,1,-10.9,-49
"APR",2.1,"NUT",41,2.2,0.3,0.1,0.3,0.53,0.5,0.17,0.19,4.6,5,0.7,5.5,-53.1
"APR",2.1,"WLA",14,2.4,0.6,0.3,-1.5,0.57,0.5,0.22,0.11,4.6,4.4,0.9,-2.7,-50.3
"APR",2.1,"SLA",1,3.7,3.7,1.6,1.6,0.81,0.81,0.81,0.81,4.6,5.1,5,6.8,5.5
"MAY",1.6,"SEL",2,1.15,0.9,-0.45,-0.7,0.38,0.4,0.31,0.33,3.7,3.45,1.9,-3.8,-27.9
"MAY",1.6,"WEL",14,1.6,0.3,0,-1.5,0.5,0.52,0.18,0.19,3.7,3.6,0.9,-1.5,-43.4
"MAY",1.6,"NUT",40,1.8,0.2,0.2,0.2,0.56,0.51,0.16,0.17,3.7,4.1,0.6,6.2,-48
"MAY",1.6,"WLA",12,1.2,0.1,-0.4,-1.5,0.39,0.42,0.15,0.14,3.7,3,0.5,-10.9,-49.6
"MAY",1.6,"SLA",1,1.1,1.1,-0.5,-0.5,0.37,0.39,0.37,0.39,3.7,2.4,2.3,-20.1,-21.7
"JUN",0.9,"SEL",3,1.03,0.7,0.13,-0.2,0.55,0.55,0.36,0.36,3.3,3.76,1.5,7.6,-29.8
"JUN",0.9,"WEL",12,1,0.3,0.1,-0.7,0.54,0.53,0.17,0.18,3.3,3.6,0.8,4.9,-41.4
"JUN",0.9,"NUT",40,1,0.2,0.1,0.2,0.54,0.5,0.14,0.11,3.3,3.4,0.5,1.6,-46.3
"JUN",0.9,"WLA",11,0.8,0.2,-0.1,-0.7,0.42,0.52,0.14,0.21,3.3,3.2,0.6,-1.7,-44.6
"JUN",0.9,"SLA",2,0.3,0.2,-0.6,-0.7,0.17,0.26,0.14,0.21,3.3,1.8,1.5,-24.9,-29.8
"JUL",1.2,"SEL",6,1.27,0.3,0.07,-0.9,0.53,0.59,0.13,0.12,3.8,4.78,1,14.9,-42.8
"JUL",1.2,"WEL",8,1,0.3,-0.2,-1,0.4,0.43,0.13,0.12,3.8,3.6,0.7,-3.1,-47.4
"JUL",1.2,"NUT",41,1.3,0.2,0.1,0.2,0.54,0.5,0.11,0.12,3.8,3.9,0.7,1.5,-47.4
"JUL",1.2,"WLA",9,1,0.2,-0.2,-1,0.4,0.45,0.11,0.06,3.8,3.6,0.8,-3.1,-45.9
"JUL",1.2,"SLA",2,1,1,-0.2,-0.2,0.4,0.45,0.4,0.45,3.8,2.1,1.5,-26,-35.2
"AUG",1.2,"SEL",7,1.46,0.5,0.26,-0.7,0.59,0.47,0.24,0.21,5.6,7.91,1,27.7,-55.1
"AUG",1.2,"WEL",12,1.6,0.2,0.4,-1,0.65,0.51,0.16,0.15,5.6,5.3,1.3,-3.6,-51.5
"AUG",1.2,"NUT",34,1.1,0.1,-0.1,0.1,0.45,0.5,0.13,0.13,5.6,6.1,0.9,6,-56.3
"AUG",1.2,"WLA",12,1.4,0.2,0.2,-1,0.57,0.63,0.16,0.14,5.6,4.3,1.1,-15.6,-53.9
"AUG",1.2,"SLA",5,0.5,0.3,-0.7,-0.9,0.24,0.23,0.18,0.16,5.6,2.4,0.8,-38.3,-57.5
"SEP",1.4,"SEL",8,2.05,0.2,0.65,-1.2,0.73,0.62,0.13,0.14,7.7,9.79,1.1,20,-63.2
"SEP",1.4,"WEL",8,1,0.2,-0.4,-1,0.35,0.32,0.13,0.14,7.7,6,1.5,-16.3,-59.4
"SEP",1.4,"NUT",36,1.5,0.4,0.1,0.4,0.53,0.51,0.17,0.15,7.7,9.1,0.9,13.4,-65.1
