"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"JAN",5.8,"SEL",10,2.31,0.8,-3.49,-5,0.22,0.34,0.14,0.18,15.6,7.26,2,-45.4,-74.1
"JAN",5.8,"WEL",13,4.1,0.6,-1.7,-5,0.36,0.56,0.13,0.17,15.6,11,3.3,-25.1,-67
"JAN",5.8,"NUT",20,7.5,0.4,1.7,0.4,0.64,0.5,0.12,0.12,15.6,16.2,1.3,3.3,-78
"JAN",5.8,"WLA",17,6.2,0.8,0.4,-5,0.54,0.45,0.14,0.05,15.6,19.9,4.9,23.4,-58.3
"JAN",5.8,"SLA",10,7.6,2.8,1.8,-3,0.65,0.6,0.26,0.15,15.6,19.6,4.7,21.8,-59.4
"FEB",4.8,"SEL",9,3.12,0.6,-1.68,-4.2,0.3,0.4,0.09,0.13,13.8,6.15,1.5,-46.2,-74.3
"FEB",4.8,"WEL",8,4.5,1.6,-0.3,-2.9,0.46,0.59,0.16,0.22,13.8,9.2,2.9,-27.8,-65.9
"FEB",4.8,"NUT",27,3.8,0.5,-1,0.5,0.38,0.51,0.09,0.09,13.8,12.8,2.5,-6,-68.3
"FEB",4.8,"WLA",16,6.7,1.9,1.9,-2.9,0.72,0.51,0.18,0.08,13.8,19.1,6.2,32,-45.9
"FEB",4.8,"SLA",8,6.2,0.3,1.4,-4.5,0.67,0.45,0.08,0.03,13.8,16.8,6.7,18.1,-42.9
"MAR",5,"SEL",7,1.83,0.6,-3.17,-4.4,0.29,0.43,0.22,0.16,11.9,5.93,3.3,-40.8,-58.7
"MAR",5,"WEL",5,2.4,1.1,-2.6,-2.8,0.32,0.58,0.25,0.26,11.9,8.1,1.9,-26,-68.3
"MAR",5,"NUT",37,4.9,0.4,-0.1,0.4,0.49,0.5,0.21,0.13,11.9,11.8,2.2,-0.7,-66.2
"MAR",5,"WLA",16,7,2.2,2,-2.8,0.63,0.5,0.31,0.29,11.9,15.2,4.7,22.5,-49.2
"MAR",5,"SLA",3,5.8,1.6,0.8,-3.4,0.55,0.45,0.28,0.27,11.9,14.5,10.3,17.8,-10.9
"APR",4,"SEL",2,1.2,0.3,-2.8,-3.7,0.16,0.21,0.09,0.06,9.6,6.13,4,-28.1,-45.3
"APR",4,"WEL",11,2.3,0.2,-1.7,-1.9,0.27,0.54,0.09,0.05,9.6,8.1,1.8,-12.1,-63.2
"APR",4,"NUT",41,4.1,1.6,0.1,1.6,0.51,0.5,0.19,0.17,9.6,9.9,2.8,2.5,-55.1
"APR",4,"WLA",14,5.4,2.1,1.4,-1.9,0.69,0.52,0.25,0.18,9.6,10.4,3.6,6.5,-48.6
"APR",4,"SLA",1,4.8,4.8,0.8,0.8,0.61,0.45,0.61,0.45,9.6,9.7,9.7,0.8,0.8
"MAY",2.9,"SEL",2,2.9,2.4,0,-0.5,0.5,0.44,0.41,0.38,8.5,8.15,5.2,-3.1,-29.4
"MAY",2.9,"WEL",14,3.4,0.6,0.5,-2.5,0.58,0.5,0.16,0.18,8.5,8.7,2.8,1.8,-50.7
"MAY",2.9,"NUT",40,2.8,0.2,-0.1,0.2,0.48,0.5,0.12,0.13,8.5,8.7,2.2,1.8,-56
"MAY",2.9,"WLA",12,2.8,0.4,-0.1,-2.5,0.48,0.41,0.14,0.09,8.5,7.8,2.6,-6.2,-52.4
"MAY",2.9,"SLA",1,3.9,3.9,1,1,0.67,0.61,0.67,0.61,8.5,7.2,6.8,-11.5,-15.1
"JUN",2.7,"SEL",3,2.03,1.3,-0.67,-1.4,0.33,0.41,0.17,0.19,8.7,8.41,4.2,-2.5,-39.3
"JUN",2.7,"WEL",12,2.4,1,-0.3,-1.6,0.43,0.54,0.12,0.13,8.7,9,3.7,2.6,-43.7
"JUN",2.7,"NUT",40,3,1,0.3,1,0.6,0.5,0.12,0.1,8.7,8.8,2.7,0.9,-52.4
"JUN",2.7,"WLA",11,2.2,1.1,-0.5,-1.6,0.37,0.55,0.13,0.1,8.7,7.8,3.5,-7.9,-45.4
"JUN",2.7,"SLA",2,1,1,-1.7,-1.7,0.12,0.08,0.12,0.08,8.7,6,4.4,-23.6,-37.6
