"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1922-01","1927-04","52","-0.69","-1.68","-36.04"
"1928-12","1935-09","42","-0.74","-2.18","-31.01"
"1935-10","1942-04","14","-0.73","-1.47","-10.2"
"1944-01","1946-01","14","-0.47","-1.61","-6.54"
"1947-02","1954-07","39","-0.45","-1.45","-17.62"
"1958-01","1958-10","9","-0.8","-1.18","-7.23"
"1958-11","1974-01","61","-0.44","-1.8","-26.65"
"1975-07","1978-11","40","-0.79","-1.47","-31.67"
"1978-12","1980-06","9","-0.5","-1.19","-4.5"
"1981-06","1985-03","21","-1.03","-2.07","-21.7"
"1985-04","1987-12","26","-0.67","-1.52","-17.32"
"1990-08","1996-01","54","-0.66","-2.34","-35.65"
"1996-02","2004-11","90","-1.4","-2.88","-126.38"
"2005-08","2006-03","7","-0.9","-1.79","-6.32"
"2007-03","2009-03","24","-1.37","-2.29","-32.79"
"2009-06","2011-05","18","-1.1","-2.58","-19.73"
"2012-11","2014-08","20","-0.68","-1.68","-13.51"
"2014-11","2018-03","40","-0.76","-1.68","-30.35"
"2019-09","2019-12","2","-0.08","-0.09","-0.16"
