"DT","SP"
1920-01-01,0
1920-02-01,0
1920-03-01,0
1920-04-01,0
1920-05-01,0
1920-06-01,0
1920-07-01,0
1920-08-01,0
1920-09-01,0
1920-10-01,0
1920-11-01,0
1920-12-01,0
1921-01-01,0
1921-02-01,0
1921-03-01,0
1921-04-01,0
1921-05-01,0
1921-06-01,0
1921-07-01,0
1921-08-01,0
1921-09-01,0
1921-10-01,0
1921-11-01,0
1921-12-01,0
1922-01-01,0.599186918311363
1922-02-01,0.483519880112033
1922-03-01,0.495347048081152
1922-04-01,0.363738025536333
1922-05-01,0.312505206868839
1922-06-01,0.486886085467151
1922-07-01,0.525609511778145
1922-08-01,0.4788491809161
1922-09-01,0.0889791470102684
1922-10-01,0.0580396822803613
1922-11-01,0
1922-12-01,0.483331805002019
1923-01-01,0
1923-02-01,0
1923-03-01,0
1923-04-01,0
1923-05-01,0
1923-06-01,0
1923-07-01,0
1923-08-01,0
1923-09-01,0
1923-10-01,0
1923-11-01,0.118025650989212
1923-12-01,0
1924-01-01,0.247379251041488
1924-02-01,0.50978351193886
1924-03-01,1.05115197877418
1924-04-01,0.636161532868098
1924-05-01,0.346776100559346
1924-06-01,0.303606923154548
1924-07-01,0.256544456567022
1924-08-01,0.242850844872234
1924-09-01,0.376618616074385
1924-10-01,0.0909101499497807
1924-11-01,0.097384452972407
1924-12-01,0.59193928611141
1925-01-01,0.234500887628167
1925-02-01,0.366794351865877
1925-03-01,0.110114016517531
1925-04-01,0.795382825019845
1925-05-01,1.10657783087013
1925-06-01,1.07121120018372
1925-07-01,1.04554327231
1925-08-01,0.948859039779354
1925-09-01,0.789003523326265
1925-10-01,1.12038758333224
1925-11-01,1.06559856806359
1925-12-01,1.24594506286608
1926-01-01,1.33577420723063
1926-02-01,1.27014649650465
1926-03-01,1.51914433547676
1926-04-01,1.92631196256911
1926-05-01,1.95317681013777
1926-06-01,1.6056237242339
1926-07-01,1.61440689690571
1926-08-01,1.56819477409081
1926-09-01,1.52836928826293
1926-10-01,1.4162518432581
1926-11-01,1.77675484636781
1926-12-01,1.58880681089824
1927-01-01,1.0323597731271
1927-02-01,0.968934705225951
1927-03-01,0.153051402872767
1927-04-01,0
1927-05-01,0
1927-06-01,0
1927-07-01,0
1927-08-01,0
1927-09-01,0
1927-10-01,0
1927-11-01,0
1927-12-01,0
1928-01-01,0
1928-02-01,0
1928-03-01,0
1928-04-01,0
1928-05-01,0
1928-06-01,0
1928-07-01,0
1928-08-01,0
1928-09-01,0
1928-10-01,0
1928-11-01,0
1928-12-01,0.702440634116974
1929-01-01,0.504204668478055
1929-02-01,0.158687292154123
1929-03-01,0.00110835056189998
1929-04-01,0.363738025536333
1929-05-01,0.15719715672845
1929-06-01,0.220742309997587
1929-07-01,0
1929-08-01,0
1929-09-01,0
1929-10-01,0
1929-11-01,0
1929-12-01,0
1930-01-01,0
1930-02-01,0
1930-03-01,0
1930-04-01,0
1930-05-01,0
1930-06-01,0
1930-07-01,0
1930-08-01,0
1930-09-01,0
1930-10-01,0
1930-11-01,0
1930-12-01,0
1931-01-01,0.344854792772721
1931-02-01,0.483519880112033
1931-03-01,0.687992894800567
1931-04-01,0.693574943338825
1931-05-01,0.339907030351901
1931-06-01,0.437023383454888
1931-07-01,0.612980251233209
1931-08-01,0.4788491809161
1931-09-01,0.425832262987381
1931-10-01,0.422314322032802
1931-11-01,0.892382460050948
1931-12-01,0.46898940927268
1932-01-01,0.107197590275418
1932-02-01,0
1932-03-01,0
1932-04-01,0
1932-05-01,0
1932-06-01,0
1932-07-01,0
1932-08-01,0
1932-09-01,0
1932-10-01,0
1932-11-01,0
1932-12-01,0
1933-01-01,0
1933-02-01,0
1933-03-01,0
1933-04-01,0
1933-05-01,0
1933-06-01,0
1933-07-01,0
1933-08-01,0
1933-09-01,0
1933-10-01,0
1933-11-01,0
1933-12-01,0
1934-01-01,0.221649886132732
1934-02-01,1.27014649650465
1934-03-01,1.99971485100885
1934-04-01,1.93528139717948
1934-05-01,2.10942850927469
1934-06-01,1.87912997639377
1934-07-01,1.8081775093235
1934-08-01,1.61937536320084
1934-09-01,1.15113759125826
1934-10-01,0.684715797781889
1934-11-01,0.406717364940548
1934-12-01,0.635907752166032
1935-01-01,0.551503198997969
1935-02-01,0.328402738745292
1935-03-01,0.0372226013436196
1935-04-01,0.262064508996895
1935-05-01,0.326191269330255
1935-06-01,0.515555553678288
1935-07-01,0.540088054234318
1935-08-01,0.578648668184398
1935-09-01,0.736866695865202
1935-10-01,0.853698649191926
1935-11-01,0.939146185360582
1935-12-01,0.512113376579262
1936-01-01,0.202424356415269
1936-02-01,0.208465644535351
1936-03-01,0.0372226013436196
1936-04-01,0
1936-05-01,0
1936-06-01,0
1936-07-01,0
1936-08-01,0
1936-09-01,0
1936-10-01,0
1936-11-01,0
1936-12-01,0
1937-01-01,0
1937-02-01,0
1937-03-01,0
1937-04-01,0
1937-05-01,0
1937-06-01,0
1937-07-01,0
1937-08-01,0
1937-09-01,0
1937-10-01,0
1937-11-01,0
1937-12-01,0
1938-01-01,0
1938-02-01,0
1938-03-01,0
1938-04-01,0
1938-05-01,0
1938-06-01,0
1938-07-01,0
1938-08-01,0
1938-09-01,0
1938-10-01,0
1938-11-01,0
1938-12-01,0
1939-01-01,0
1939-02-01,0.133953909843266
1939-03-01,0.252386185678316
1939-04-01,0
1939-05-01,0
1939-06-01,0
1939-07-01,0
1939-08-01,0.256494025517671
1939-09-01,0.25865008944469
1939-10-01,0
1939-11-01,0
1939-12-01,0
1940-01-01,0
1940-02-01,0.146307736228795
1940-03-01,0
1940-04-01,0
1940-05-01,0
1940-06-01,0
1940-07-01,0
1940-08-01,0
1940-09-01,0
1940-10-01,0
1940-11-01,0
1940-12-01,0
1941-01-01,0
1941-02-01,0
1941-03-01,0
1941-04-01,0
1941-05-01,0.692975743379535
1941-06-01,0.72740408033166
1941-07-01,1.09290241860018
1941-08-01,1.35977660285204
1941-09-01,1.39436240676574
1941-10-01,1.53233394088059
1941-11-01,1.66975811233372
1941-12-01,1.66686006004253
1942-01-01,1.30466227841811
1942-02-01,0.961794297908938
1942-03-01,0.915640475315501
1942-04-01,0.501935869030866
1942-05-01,0.457714364913032
1942-06-01,0.105123272456837
1942-07-01,0
1942-08-01,0
1942-09-01,0.0422489126787229
1942-10-01,0.422314322032802
1942-11-01,0.166436466294933
1942-12-01,0
1943-01-01,0
1943-02-01,0
1943-03-01,0
1943-04-01,0
1943-05-01,0
1943-06-01,0
1943-07-01,0
1943-08-01,0
1943-09-01,0
1943-10-01,0
1943-11-01,0
1943-12-01,0
1944-01-01,0.537950383075773
1944-02-01,0
1944-03-01,0.0372226013436196
1944-04-01,0.0830769327456403
1944-05-01,0.67845832663248
1944-06-01,0.72740408033166
1944-07-01,0.657122425175078
1944-08-01,0.687382991312181
1944-09-01,0.670473635195266
1944-10-01,0.846252178503101
1944-11-01,0.962660307337663
