"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"JAN",5,"SEL",10,2.87,1.4,-2.13,-3.6,0.3,0.41,0.18,0.23,14.3,8.51,3.2,-34,-65.1
"JAN",5,"WEL",13,3.9,1.2,-1.1,-4.3,0.39,0.55,0.17,0.2,14.3,11.6,3.9,-15.8,-61
"JAN",5,"NUT",20,6.2,0.9,1.2,0.9,0.62,0.5,0.15,0.11,14.3,15.5,2.9,7,-66.9
"JAN",5,"WLA",17,5,0.7,0,-4.3,0.5,0.45,0.14,0.13,14.3,16.1,4.1,10.5,-59.8
"JAN",5,"SLA",10,6.5,2,1.5,-3,0.65,0.59,0.22,0.2,14.3,15.1,3.4,4.7,-63.9
"FEB",4.2,"SEL",9,2.38,0.7,-1.82,-3.5,0.27,0.33,0.12,0.13,12.7,7.39,2.8,-34.4,-64.1
"FEB",4.2,"WEL",8,4,1.5,-0.2,-2.4,0.48,0.58,0.18,0.21,12.7,10,3.8,-17.5,-57.6
"FEB",4.2,"NUT",27,4.1,1,-0.1,1,0.49,0.5,0.14,0.14,12.7,12.9,3.2,1.3,-61.5
"FEB",4.2,"WLA",16,4.8,1.8,0.6,-2.4,0.59,0.51,0.21,0.18,12.7,15.1,4.6,15.5,-52.4
"FEB",4.2,"SLA",8,3.5,0.4,-0.7,-3.8,0.41,0.35,0.1,0.09,12.7,13.5,6.3,5.2,-41.4
"MAR",5.1,"SEL",7,3.26,1.1,-1.84,-4,0.34,0.48,0.18,0.22,11.2,7.51,4.3,-26.5,-49.5
"MAR",5.1,"WEL",5,3.7,1.2,-1.4,-3.5,0.37,0.53,0.18,0.23,11.2,9.2,2.9,-14.3,-59.5
"MAR",5.1,"NUT",37,5.2,1,0.1,1,0.51,0.5,0.17,0.15,11.2,11.6,3,2.9,-58.8
