"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1922-01","1927-03","36","-0.67","-1.5","-24.2"
"1928-12","1932-02","25","-0.63","-1.43","-15.78"
"1933-11","1935-02","14","-0.64","-1.45","-8.98"
"1936-02","1936-10","8","-0.64","-1.03","-5.11"
"1939-02","1942-12","34","-0.72","-1.44","-24.34"
"1943-12","1945-12","24","-0.84","-2.75","-20.23"
"1946-04","1948-01","21","-0.47","-1.07","-9.88"
"1948-12","1954-11","27","-0.98","-2.07","-26.42"
"1958-01","1962-03","32","-0.71","-1.42","-22.66"
"1962-11","1964-12","10","-0.86","-1.35","-8.56"
"1969-12","1974-04","28","-0.71","-1.65","-19.98"
"1975-05","1978-10","29","-0.93","-1.98","-26.97"
"1979-12","1985-07","33","-0.97","-2.13","-32.12"
"1985-12","1987-12","23","-0.54","-1.15","-12.53"
"1989-01","1996-11","68","-0.93","-2.25","-63.25"
"1997-12","2004-01","73","-1.26","-2.51","-92.3"
"2005-12","2006-03","3","-0.66","-1.01","-1.99"
"2006-07","2009-05","30","-0.54","-1.21","-16.34"
"2009-09","2011-01","15","-0.98","-1.46","-14.77"
"2012-01","2014-10","33","-0.75","-1.62","-24.61"
"2014-11","2015-09","10","-0.58","-1.01","-5.83"
"2015-10","2019-12","23","-0.49","-0.94","-11.31"
