"DT","SP"
1920-01-01,0
1920-02-01,0
1920-03-01,0
1920-04-01,0
1920-05-01,0
1920-06-01,0
1920-07-01,0
1920-08-01,0
1920-09-01,0
1920-10-01,0
1920-11-01,0
1920-12-01,0
1921-01-01,0
1921-02-01,0
1921-03-01,0
1921-04-01,0
1921-05-01,0
1921-06-01,0
1921-07-01,0
1921-08-01,0
1921-09-01,0
1921-10-01,0
1921-11-01,0
1921-12-01,0.0788440738390114
1922-01-01,0.808218368559651
1922-02-01,0.92421054171966
1922-03-01,0.672989355574393
1922-04-01,0.652927440671326
1922-05-01,0.676755941442134
1922-06-01,0.776466948681808
1922-07-01,0.807592782114108
1922-08-01,0.735979732545187
1922-09-01,0.396694320903456
1922-10-01,0.470189520719202
1922-11-01,0.455373514544974
1922-12-01,1.03590857257643
1923-01-01,0.250625075863039
1923-02-01,0.00778515096339876
1923-03-01,0
1923-04-01,0
1923-05-01,0
1923-06-01,0
1923-07-01,0
1923-08-01,0
1923-09-01,0
1923-10-01,0
1923-11-01,0
1923-12-01,0
1924-01-01,0
1924-02-01,0.0273619843764205
1924-03-01,0.0763021766437753
1924-04-01,0
1924-05-01,0
1924-06-01,0
1924-07-01,0
1924-08-01,0
1924-09-01,0
1924-10-01,0
1924-11-01,0
1924-12-01,0
1925-01-01,0
1925-02-01,0
1925-03-01,0
1925-04-01,1.00661463761354
1925-05-01,1.11903963506335
1925-06-01,1.17803614138297
1925-07-01,1.20019946935796
1925-08-01,1.17433774659913
1925-09-01,1.03840325213041
1925-10-01,0.936257221867722
1925-11-01,0.928923305692541
1925-12-01,1.29824572667762
1926-01-01,1.27687171956602
1926-02-01,1.25672873322373
1926-03-01,1.48508192405385
1926-04-01,1.60274957825435
1926-05-01,1.64422096488426
1926-06-01,1.03900799185875
1926-07-01,0.951431395684868
1926-08-01,0.799018380006869
1926-09-01,0.74044520046779
1926-10-01,0.648897830887615
1926-11-01,0.804250411924309
1926-12-01,1.06254824964597
1927-01-01,0.772073025921593
1927-02-01,0.542310054286387
1927-03-01,0
1927-04-01,0
1927-05-01,0
1927-06-01,0
1927-07-01,0
1927-08-01,0
1927-09-01,0
1927-10-01,0
1927-11-01,0
1927-12-01,0
1928-01-01,0
1928-02-01,0
1928-03-01,0
1928-04-01,0
1928-05-01,0
1928-06-01,0
1928-07-01,0
1928-08-01,0
1928-09-01,0
1928-10-01,0
1928-11-01,0
1928-12-01,1.22711410580796
1929-01-01,1.04692082003903
1929-02-01,0.800176175072482
1929-03-01,0.98170483323756
1929-04-01,1.22642906755626
1929-05-01,1.10519626272428
1929-06-01,1.14977699088859
1929-07-01,1.12929316194793
1929-08-01,0.837375931851081
1929-09-01,0.691080430732672
1929-10-01,0.547227576577267
1929-11-01,0.367882057138579
1929-12-01,0
1930-01-01,0
1930-02-01,0
1930-03-01,0
1930-04-01,0
1930-05-01,0
1930-06-01,0
1930-07-01,0
1930-08-01,0
1930-09-01,0
1930-10-01,0
1930-11-01,0
1930-12-01,0
1931-01-01,0.631273556911182
1931-02-01,0.788022421359561
1931-03-01,1.12720457810206
1931-04-01,1.03331637093336
1931-05-01,0.640239273895966
1931-06-01,0.664286536405709
1931-07-01,0.66922435740214
1931-08-01,0.517588851195772
1931-09-01,0.828497145857648
1931-10-01,0.837640503799106
1931-11-01,1.27728043500843
1931-12-01,1.06254824964597
1932-01-01,0.931654794268037
1932-02-01,0
1932-03-01,0
1932-04-01,0
1932-05-01,0
1932-06-01,0
1932-07-01,0
1932-08-01,0
1932-09-01,0
1932-10-01,0
1932-11-01,0
1932-12-01,0
1933-01-01,0
1933-02-01,0
1933-03-01,0
1933-04-01,0
1933-05-01,0
1933-06-01,0
1933-07-01,0
1933-08-01,0
1933-09-01,0
1933-10-01,0
1933-11-01,0.293018899596657
1933-12-01,0
1934-01-01,0
1934-02-01,0.157131504832958
1934-03-01,1.11370356939004
1934-04-01,0.993342059328538
1934-05-01,0.865080881106078
1934-06-01,0.652030561796262
1934-07-01,0.583784932359315
1934-08-01,0.541232265102806
1934-09-01,0.219632140886833
1934-10-01,0.0595349496551097
1934-11-01,0
1934-12-01,0.298230324160817
1935-01-01,0.0990901935432281
1935-02-01,0
1935-03-01,0
1935-04-01,0
1935-05-01,0
1935-06-01,0.137769078454728
1935-07-01,0.183016475353109
1935-08-01,0.190190828350538
1935-09-01,0.198056238181537
1935-10-01,0
1935-11-01,0
1935-12-01,0
1936-01-01,0
1936-02-01,0.0569166875861073
1936-03-01,0.40049950377394
1936-04-01,0.211614200542072
1936-05-01,0.195303011040271
1936-06-01,0.202541325188264
1936-07-01,0.204847908217406
1936-08-01,0.0101917512922845
1936-09-01,0.112914483324905
1936-10-01,0
1936-11-01,0
1936-12-01,0
1937-01-01,0
1937-02-01,0
1937-03-01,0
1937-04-01,0
1937-05-01,0
1937-06-01,0
1937-07-01,0
1937-08-01,0
1937-09-01,0
1937-10-01,0
1937-11-01,0
1937-12-01,0
1938-01-01,0
1938-02-01,0
1938-03-01,0
1938-04-01,0
1938-05-01,0
1938-06-01,0
1938-07-01,0
1938-08-01,0
1938-09-01,0
1938-10-01,0
1938-11-01,0
1938-12-01,0
1939-01-01,0
1939-02-01,0.11672536139561
1939-03-01,0
1939-04-01,0
1939-05-01,0
1939-06-01,0
1939-07-01,0
1939-08-01,0.435980289960925
1939-09-01,0.374110967540781
1939-10-01,0
1939-11-01,0
1939-12-01,0
1940-01-01,0
1940-02-01,0
1940-03-01,0
1940-04-01,0
1940-05-01,0
1940-06-01,0
1940-07-01,0
1940-08-01,0
1940-09-01,0
1940-10-01,0.671912711102173
1940-11-01,0.367882057138579
1940-12-01,0.429598017749266
1941-01-01,0.784077765783169
1941-02-01,0.788022421359561
1941-03-01,1.07353711756964
1941-04-01,1.24066366389435
1941-05-01,1.4544064053155
1941-06-01,1.39788697720519
1941-07-01,1.43762184224454
1941-08-01,1.43936562604739
1941-09-01,1.33503491378823
1941-10-01,0.923763719039297
1941-11-01,1.6376099365158
1941-12-01,1.72990318546416
1942-01-01,1.88302170320236
1942-02-01,1.62927239461478
1942-03-01,1.45487108456383
1942-04-01,1.21225602885662
1942-05-01,1.18911876443993
1942-06-01,1.30820361051326
1942-07-01,1.17166111880955
1942-08-01,1.11817748962014
1942-09-01,0.984729889459565
1942-10-01,0.801418748697854
1942-11-01,0.602285444921661
1942-12-01,0
1943-01-01,0
1943-02-01,0
1943-03-01,0
1943-04-01,0
1943-05-01,0
1943-06-01,0
1943-07-01,0
1943-08-01,0
1943-09-01,0
1943-10-01,0
1943-11-01,0
1943-12-01,0.830106328569142
1944-01-01,2.007145873069
1944-02-01,1.38560509284087
1944-03-01,0.500248608483359
1944-04-01,0.534674236428209
1944-05-01,0.750906908029779
1944-06-01,0.591349824858961
1944-07-01,0.595872068515271
1944-08-01,0.613069747817978
1944-09-01,0.5468661330316
1944-10-01,0.536115974263297
1944-11-01,0.477583208554586
