"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1922-01","1927-04","31","-0.52","-1.71","-16.09"
"1928-12","1932-02","15","-0.84","-1.4","-12.55"
"1934-01","1936-10","33","-0.73","-1.55","-24.07"
"1936-11","1942-12","36","-0.9","-1.75","-32.35"
"1943-11","1946-01","26","-1.01","-2","-26.26"
"1946-04","1954-11","46","-0.61","-1.56","-28.02"
"1958-01","1962-03","50","-0.87","-1.62","-43.35"
"1962-04","1973-12","62","-0.52","-1.93","-32.48"
"1975-12","1979-01","31","-0.93","-1.72","-28.73"
"1979-11","1982-01","15","-0.85","-1.36","-12.68"
"1983-03","1985-09","30","-0.78","-2.23","-23.38"
"1985-11","1988-01","26","-0.68","-1.27","-17.66"
"1992-03","1996-11","46","-0.79","-1.79","-36.5"
"1998-01","2002-01","48","-1.55","-3.15","-74.21"
"2003-05","2004-01","8","-0.36","-1.2","-2.88"
"2006-01","2011-01","27","-0.66","-1.52","-17.85"
"2011-03","2014-02","35","-1.06","-2.31","-37.11"
"2016-03","2019-12","7","-0.19","-0.32","-1.36"
