"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"JAN",4.2,"SEL",10,2.09,0.6,-2.11,-3.6,0.29,0.37,0.17,0.16,9.5,4.27,1.5,-42.7,-65.3
"JAN",4.2,"WEL",13,3.3,1,-0.9,-4,0.41,0.57,0.2,0.21,9.5,8.2,2.6,-10.6,-56.3
"JAN",4.2,"NUT",20,5.3,1.2,1.1,1.2,0.62,0.5,0.21,0.13,9.5,10.9,2.5,11.4,-57.2
"JAN",4.2,"WLA",17,4.5,0.2,0.3,-4,0.53,0.49,0.14,0.16,9.5,10.7,1.9,9.8,-62.1
"JAN",4.2,"SLA",10,4.7,0.2,0.5,-4,0.55,0.51,0.14,0.16,9.5,9.1,0.7,-3.3,-71.9
"FEB",2.2,"SEL",9,1.27,0.5,-0.93,-1.7,0.26,0.34,0.12,0.17,7,2.98,1.6,-41.2,-55.4
"FEB",2.2,"WEL",8,2.3,0.8,0.1,-1.7,0.53,0.62,0.17,0.23,7,6.3,1.9,-7.2,-52.3
"FEB",2.2,"NUT",27,2.2,0.5,0,0.5,0.5,0.49,0.12,0.1,7,7.3,1.5,3.1,-56.4
"FEB",2.2,"WLA",16,2.9,0.5,0.7,-1.7,0.69,0.63,0.12,0.11,7,8,2.2,10.3,-49.3
"FEB",2.2,"SLA",8,1.4,0.3,-0.8,-1.9,0.29,0.26,0.09,0.09,7,8.5,4.6,15.4,-24.6
"MAR",3.1,"SEL",7,0.91,0.4,-2.19,-2.7,0.15,0.29,0.1,0.17,5.9,3.46,1.8,-28.2,-47.4
"MAR",3.1,"WEL",5,2.6,0.8,-0.5,-1.9,0.4,0.78,0.13,0.26,5.9,5.1,1.4,-9.2,-52
"MAR",3.1,"NUT",37,3.4,0.8,0.3,0.8,0.55,0.5,0.13,0.11,5.9,6.2,1.2,3.5,-54.3
"MAR",3.1,"WLA",16,3.3,1.2,0.2,-1.9,0.54,0.48,0.18,0.14,5.9,5.9,1.9,0,-46.2
"MAR",3.1,"SLA",3,3,0.2,-0.1,-2.9,0.48,0.42,0.08,0.06,5.9,7.9,5.1,23.1,-9.2
"APR",1.7,"SEL",2,0.8,0.7,-0.9,-1,0.24,0.25,0.22,0.2,3.4,3.38,1.8,-0.3,-26.1
"APR",1.7,"WEL",11,1.4,0.3,-0.3,-1.2,0.42,0.57,0.14,0.08,3.4,2.9,0.7,-8.1,-43.9
"APR",1.7,"NUT",41,1.7,0.2,0,0.2,0.52,0.51,0.12,0.11,3.4,3.5,0.5,1.6,-47.2
"APR",1.7,"WLA",14,1.8,0.5,0.1,-1.2,0.55,0.47,0.17,0.19,3.4,2.9,0.8,-8.1,-42.3
"APR",1.7,"SLA",1,4.1,4.1,2.4,2.4,0.98,0.91,0.98,0.91,3.4,5,5,26.1,26.1
"MAY",1.1,"SEL",2,1.75,0.7,0.65,-0.4,0.83,0.77,0.3,0.24,2.5,3.58,1.2,20.6,-24.8
"MAY",1.1,"WEL",14,1.1,0.3,0,-0.9,0.52,0.44,0.13,0.1,2.5,2.1,0.5,-7.6,-38.1
"MAY",1.1,"NUT",40,1.1,0.2,0,0.2,0.52,0.48,0.11,0.11,2.5,2.6,0.4,2,-40
"MAY",1.1,"WLA",12,0.8,0.2,-0.3,-0.9,0.35,0.47,0.11,0.08,2.5,1.8,0.4,-13.4,-40
"MAY",1.1,"SLA",1,0.8,0.8,-0.3,-0.3,0.35,0.47,0.35,0.47,2.5,1.1,1.1,-26.6,-26.6
"JUN",0.6,"SEL",3,0.83,0.4,0.23,-0.2,0.7,0.79,0.37,0.4,2.1,2.87,0.6,15.9,-30.9
"JUN",0.6,"WEL",12,0.4,0.1,-0.2,-0.5,0.37,0.4,0.18,0.16,2.1,1.7,0.3,-8.3,-37.2
"JUN",0.6,"NUT",40,0.7,0.1,0.1,0.1,0.6,0.5,0.18,0.15,2.1,2.1,0.3,0,-37.2
"JUN",0.6,"WLA",11,0.3,0.1,-0.3,-0.5,0.3,0.56,0.18,0.25,2.1,1.5,0.3,-12.4,-37.2
"JUN",0.6,"SLA",2,0.1,0.1,-0.5,-0.5,0.18,0.25,0.18,0.25,2.1,0.8,0.4,-26.9,-35.1
"JUL",0.8,"SEL",6,1,0.1,0.2,-0.7,0.63,0.64,0.2,0.19,2.4,2.79,0.4,7.6,-38.8
"JUL",0.8,"WEL",8,0.6,0.1,-0.2,-0.7,0.42,0.42,0.2,0.19,2.4,2,0.3,-7.8,-40.8
"JUL",0.8,"NUT",41,0.8,0.1,0,0.1,0.52,0.5,0.2,0.2,2.4,2.3,0.3,-1.9,-40.8
"JUL",0.8,"WLA",9,0.7,0.1,-0.1,-0.7,0.47,0.53,0.2,0.19,2.4,2.6,0.4,3.9,-38.8
"JUL",0.8,"SLA",2,0.2,0.2,-0.6,-0.6,0.24,0.24,0.24,0.24,2.4,1.1,0.4,-25.2,-38.8
"AUG",0.7,"SEL",7,1.04,0.1,0.34,-0.6,0.7,0.57,0.23,0.23,2.9,4.1,0.5,21.3,-42.5
"AUG",0.7,"WEL",12,0.7,0.1,0,-0.6,0.52,0.44,0.23,0.23,2.9,2.8,0.4,-1.7,-44.3
"AUG",0.7,"NUT",34,0.6,0.1,-0.1,0.1,0.47,0.48,0.23,0.23,2.9,2.7,0.4,-3.6,-44.3
"AUG",0.7,"WLA",12,0.5,0.1,-0.2,-0.6,0.42,0.53,0.23,0.2,2.9,3,0.6,1.7,-40.7
"AUG",0.7,"SLA",5,0.5,0.1,-0.2,-0.6,0.42,0.53,0.23,0.2,2.9,1.6,0.5,-23,-42.5
