"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1921-01","1929-11","67","-0.37","-1.95","-24.63"
"1931-01","1943-01","75","-0.51","-1.91","-38.06"
"1944-01","1945-09","17","-0.26","-1.61","-4.49"
"1946-07","1948-02","17","-0.36","-1.07","-6.2"
"1949-06","1954-12","45","-0.88","-2.38","-39.62"
"1957-10","1961-01","21","-0.63","-1.74","-13.33"
"1961-03","1970-11","26","-0.59","-1.04","-15.43"
"1970-12","1974-01","13","-1.1","-1.8","-14.31"
"1975-09","1979-01","40","-0.78","-1.54","-31.21"
"1981-02","1985-11","41","-0.62","-1.55","-25.35"
"1985-12","1996-11","85","-0.79","-1.85","-66.96"
"1998-01","2002-01","48","-1.32","-2.49","-63.21"
"2003-07","2007-12","29","-0.66","-1.28","-19.11"
"2008-11","2014-10","71","-1.24","-2.09","-88.09"
"2015-03","2019-12","21","-0.16","-0.43","-3.31"
