"DT","SP"
1920-01-01,0
1920-02-01,0
1920-03-01,0
1920-04-01,0
1920-05-01,0
1920-06-01,0
1920-07-01,0
1920-08-01,0
1920-09-01,0
1920-10-01,0
1920-11-01,0
1920-12-01,0
1921-01-01,0
1921-02-01,0
1921-03-01,0
1921-04-01,0
1921-05-01,0
1921-06-01,0
1921-07-01,0
1921-08-01,0
1921-09-01,0
1921-10-01,0
1921-11-01,0
1921-12-01,0
1922-01-01,0.128672110326391
1922-02-01,0.164881682689857
1922-03-01,0.10058673757098
1922-04-01,0.0911462746525207
1922-05-01,0.382128142956199
1922-06-01,0.370323819064154
1922-07-01,0.297039742980516
1922-08-01,0.248896744703185
1922-09-01,0.0655016073831909
1922-10-01,0.113482635613684
1922-11-01,0.346194443117072
1922-12-01,0.915481370024754
1923-01-01,0.161378694304175
1923-02-01,0
1923-03-01,0
1923-04-01,0
1923-05-01,0
1923-06-01,0
1923-07-01,0
1923-08-01,0
1923-09-01,0
1923-10-01,0
1923-11-01,0
1923-12-01,0
1924-01-01,0
1924-02-01,0.108420815738032
1924-03-01,0.356417660735377
1924-04-01,0.283824730763173
1924-05-01,0
1924-06-01,0.0352874252985882
1924-07-01,0.00164090196787391
1924-08-01,0.0924329948363823
1924-09-01,0.11915387724353
1924-10-01,0.0311131635451845
1924-11-01,0
1924-12-01,0
1925-01-01,0
1925-02-01,0
1925-03-01,0
1925-04-01,0
1925-05-01,0.097833655698093
1925-06-01,0.0781795794655974
1925-07-01,0.00164090196787446
1925-08-01,0.0166601348692538
1925-09-01,0.0126407243327678
1925-10-01,0
1925-11-01,0
1925-12-01,0.0814298215575295
1926-01-01,0.150442693120636
1926-02-01,0.292241632335944
1926-03-01,0.344889766491376
1926-04-01,0.487528855311084
1926-05-01,0.405899601960301
1926-06-01,0
1926-07-01,0
1926-08-01,0
1926-09-01,0
1926-10-01,0
1926-11-01,0
1926-12-01,0.526872918788075
1927-01-01,0.238903512788679
1927-02-01,0
1927-03-01,0
1927-04-01,0
1927-05-01,0
1927-06-01,0
1927-07-01,0
1927-08-01,0
1927-09-01,0
1927-10-01,0.041302050705685
1927-11-01,0
1927-12-01,0
1928-01-01,0
1928-02-01,0
1928-03-01,0
1928-04-01,0
1928-05-01,0
1928-06-01,0
1928-07-01,0
1928-08-01,0
1928-09-01,0
1928-10-01,0
1928-11-01,0
1928-12-01,1.47489151403953
1929-01-01,0.989849006748595
1929-02-01,0.784823120286387
1929-03-01,0.735261853797675
1929-04-01,1.09514409428384
1929-05-01,1.03433049833581
1929-06-01,1.04397767736406
1929-07-01,1.0644521376178
1929-08-01,0.971546048692745
1929-09-01,0.785566336169886
1929-10-01,0.693166210876079
1929-11-01,0
1929-12-01,0
1930-01-01,0
1930-02-01,0
1930-03-01,0
1930-04-01,0
1930-05-01,0
1930-06-01,0
1930-07-01,0
1930-08-01,0
1930-09-01,0
1930-10-01,0
1930-11-01,0
1930-12-01,0
1931-01-01,0
1931-02-01,0
1931-03-01,0
1931-04-01,0
1931-05-01,0
1931-06-01,0
1931-07-01,0
1931-08-01,0
1931-09-01,0.140843413914926
1931-10-01,0.230102172078439
1931-11-01,0.826860672438541
1931-12-01,0.901727319923211
1932-01-01,0.811545726276888
1932-02-01,0
1932-03-01,0
1932-04-01,0
1932-05-01,0.0114218689001357
1932-06-01,0
1932-07-01,0
1932-08-01,0
1932-09-01,0.217824861164965
1932-10-01,0.407388950539853
1932-11-01,0.417724226415275
1932-12-01,0.102937567166811
1933-01-01,0.0535120357288844
1933-02-01,0.485944633963841
1933-03-01,0.49792862947047
1933-04-01,0.677853061598646
1933-05-01,0.589675472009742
1933-06-01,0.83474863126386
1933-07-01,0.827717695568107
1933-08-01,0.887538455050304
1933-09-01,1.03259725263371
1933-10-01,1.09286906143809
1933-11-01,1.24845139679031
1933-12-01,0.833857548414078
1934-01-01,0.824902109971767
1934-02-01,1.14362420471872
1934-03-01,1.10674646795202
1934-04-01,1.26320154791957
1934-05-01,1.21309309047104
1934-06-01,1.1170110422675
1934-07-01,1.00708359446093
1934-08-01,0.929262446977838
1934-09-01,0.581156467302831
1934-10-01,0.306490303973886
1934-11-01,0.230112062943642
1934-12-01,0.600929308519544
1935-01-01,0.543303967928988
1935-02-01,0.89535843967577
1935-03-01,0.19845983877904
1935-04-01,0.237555017890757
1935-05-01,0.0978336556980927
1935-06-01,0.0889825164818461
1935-07-01,0.184736795684519
1935-08-01,0.214789773773249
1935-09-01,0.251342427956801
1935-10-01,0.144890515044951
1935-11-01,0.1398816794815
1935-12-01,0.291251133390875
1936-01-01,0.238903512788679
1936-02-01,0
1936-03-01,0.509997439375061
1936-04-01,0.1918739550252
1936-05-01,0.382128142956199
1936-06-01,0.417525127206926
1936-07-01,0.389583083708513
1936-08-01,0.52204047162195
1936-09-01,0.495615064139262
1936-10-01,0
1936-11-01,0
1936-12-01,0.0176706076441215
1937-01-01,0
1937-02-01,0
1937-03-01,0
1937-04-01,0
1937-05-01,0
1937-06-01,0
1937-07-01,0
1937-08-01,0
1937-09-01,0
1937-10-01,0
1937-11-01,0
1937-12-01,0
1938-01-01,0
1938-02-01,0
1938-03-01,0.546471807126995
1938-04-01,0.414270397025306
1938-05-01,0.242814318205927
1938-06-01,0.243753133990673
1938-07-01,0.218050301926165
1938-08-01,0
1938-09-01,0
1938-10-01,0
1938-11-01,0
1938-12-01,0.407007103046695
1939-01-01,0.341201904029675
1939-02-01,0.586959899180091
1939-03-01,0.344889766491376
1939-04-01,0
1939-05-01,0
1939-06-01,0
1939-07-01,0
1939-08-01,0.318111724045199
1939-09-01,0.0231510480714949
1939-10-01,0
1939-11-01,0
1939-12-01,0
1940-01-01,0
1940-02-01,0
1940-03-01,0
1940-04-01,0
1940-05-01,0
1940-06-01,0
1940-07-01,0
1940-08-01,0
1940-09-01,0
1940-10-01,0
1940-11-01,0
1940-12-01,0
1941-01-01,0
1941-02-01,0
1941-03-01,0
1941-04-01,0
1941-05-01,0.197575656037182
1941-06-01,0.277818321023264
1941-07-01,0.297039742980516
1941-08-01,0.306481095357142
1941-09-01,0.400473115286572
1941-10-01,0.306490303973886
1941-11-01,1.3434300602974
1941-12-01,1.66488941396455
1942-01-01,1.78117979486843
1942-02-01,1.6376436772995
1942-03-01,1.19592289414422
1942-04-01,1.15519053798779
1942-05-01,1.22848057806523
1942-06-01,1.20706143880313
1942-07-01,0.992909247132422
1942-08-01,0.985768303660523
1942-09-01,0.825396280688379
1942-10-01,1.03630931487619
1942-11-01,0.680500616955749
1942-12-01,0.337083641536134
1943-01-01,0
1943-02-01,0
1943-03-01,0
1943-04-01,0
1943-05-01,0
1943-06-01,0
1943-07-01,0
1943-08-01,0
1943-09-01,0
1943-10-01,0
1943-11-01,0
1943-12-01,0
1944-01-01,0.732579005062576
1944-02-01,0.268751014447798
1944-03-01,0
1944-04-01,0
1944-05-01,0.478218647878302
1944-06-01,0.370323819064154
