"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"JAN",3.5,"SEL",10,1.62,0.2,-1.88,-3.3,0.29,0.38,0.17,0.24,8.2,4.47,0.9,-34.1,-66.7
"JAN",3.5,"WEL",13,3.6,0.5,0.1,-3.2,0.51,0.61,0.19,0.26,8.2,7.5,1.3,-6.4,-63.1
"JAN",3.5,"NUT",20,5,0.5,1.5,0.5,0.67,0.5,0.19,0.11,8.2,10.1,0.8,17.4,-67.6
"JAN",3.5,"WLA",17,3.2,0.3,-0.3,-3.2,0.47,0.48,0.18,0.18,8.2,8.4,1,1.8,-65.8
"JAN",3.5,"SLA",10,3.8,0.4,0.3,-3.1,0.54,0.55,0.18,0.18,8.2,7.5,0.6,-6.4,-69.4
"FEB",2,"SEL",9,0.89,0.3,-1.11,-1.7,0.26,0.32,0.17,0.19,5.8,3.4,1.1,-28.1,-55
"FEB",2,"WEL",8,2.1,0.2,0.1,-1.4,0.52,0.65,0.15,0.17,5.8,4.7,1,-12.9,-56.2
"FEB",2,"NUT",27,2.1,0.2,0.1,0.2,0.52,0.5,0.15,0.17,5.8,6.3,0.3,5.8,-64.4
"FEB",2,"WLA",16,2.5,0.6,0.5,-1.4,0.61,0.56,0.21,0.16,5.8,6.3,0.8,5.8,-58.5
"FEB",2,"SLA",8,1.5,0.1,-0.5,-1.9,0.38,0.33,0.14,0.1,5.8,6.5,3,8.2,-32.8
"MAR",2.7,"SEL",7,1.96,0.4,-0.74,-2.3,0.41,0.51,0.23,0.27,4.4,3.56,1.4,-11.8,-42
"MAR",2.7,"WEL",5,1.8,0.6,-0.9,-2.6,0.39,0.49,0.25,0.3,4.4,3.2,0.8,-16.8,-50.4
"MAR",2.7,"NUT",37,3,0.1,0.3,0.1,0.54,0.5,0.2,0.2,4.4,4.9,0.1,7,-60.1
"MAR",2.7,"WLA",16,2.7,0.1,0,-2.6,0.5,0.53,0.2,0.16,4.4,4.1,0.2,-4.2,-58.8
"MAR",2.7,"SLA",3,2.2,0.1,-0.5,-2.6,0.44,0.45,0.2,0.16,4.4,5.4,3.3,14,-15.4
"APR",1.1,"SEL",2,0.55,0.4,-0.55,-0.7,0.32,0.29,0.27,0.17,2,2.07,1.4,1.5,-12.6
"APR",1.1,"WEL",11,0.8,0.2,-0.3,-1,0.4,0.54,0.22,0.07,2,1.7,0.2,-6.3,-37.9
"APR",1.1,"NUT",41,1.2,0,0.1,0,0.53,0.51,0.17,0.2,2,2.2,0,4.2,-42.1
"APR",1.1,"WLA",14,1.1,0.1,0,-1,0.5,0.45,0.19,0.09,2,1.6,0.1,-8.4,-40
"APR",1.1,"SLA",1,2.8,2.8,1.7,1.7,0.93,0.97,0.93,0.97,2,3.2,3.2,25.3,25.3
"MAY",0.6,"SEL",2,1.05,0.6,0.45,0,0.77,0.72,0.49,0.44,1.5,1.95,1.1,10.7,-9.4
"MAY",0.6,"WEL",14,0.6,0,0,-0.6,0.49,0.44,0.14,0.13,1.5,1.5,0.1,0,-32.9
"MAY",0.6,"NUT",40,0.7,0,0.1,0,0.56,0.49,0.14,0.12,1.5,1.6,0,2.4,-35.3
"MAY",0.6,"WLA",12,0.3,0,-0.3,-0.6,0.29,0.49,0.14,0.1,1.5,1.1,0.1,-9.4,-32.9
"MAY",0.6,"SLA",1,0.4,0.4,-0.2,-0.2,0.35,0.65,0.35,0.65,1.5,0.5,0.5,-23.5,-23.5
"JUN",0.3,"SEL",3,0.47,0.4,0.17,0.1,0.72,0.74,0.64,0.64,1.1,1.31,0.6,5.4,-13
"JUN",0.3,"WEL",12,0.3,0,0,-0.3,0.51,0.48,0.18,0.1,1.1,1.1,0.1,0,-26
"JUN",0.3,"NUT",40,0.3,0,0,0,0.51,0.49,0.18,0.19,1.1,1.1,0,0,-28.6
"JUN",0.3,"WLA",11,0.2,0,-0.1,-0.3,0.39,0.51,0.18,0.16,1.1,1,0.2,-2.7,-23.4
"JUN",0.3,"SLA",2,0,0,-0.3,-0.3,0.18,0.16,0.18,0.16,1.1,0.2,0.1,-23.4,-26
"JUL",0.6,"SEL",6,0.43,0.1,-0.17,-0.5,0.42,0.42,0.28,0.13,1.4,1.78,0.4,9.2,-24.1
"JUL",0.6,"WEL",8,0.6,0.1,0,-0.5,0.51,0.61,0.28,0.13,1.4,1.1,0.1,-7.2,-31.3
"JUL",0.6,"NUT",41,0.6,0,0,0,0.51,0.48,0.24,0.26,1.4,1.4,0.1,0,-31.3
"JUL",0.6,"WLA",9,0.6,0.1,0,-0.5,0.51,0.58,0.28,0.22,1.4,1.5,0.3,2.4,-26.6
"JUL",0.6,"SLA",2,0.1,0.1,-0.5,-0.5,0.28,0.22,0.28,0.22,1.4,0.5,0.3,-21.7,-26.6
"AUG",0.2,"SEL",7,0.41,0.1,0.21,-0.1,0.77,0.65,0.26,0.25,2.2,3.74,0.5,31.2,-34.4
"AUG",0.2,"WEL",12,0.2,0,0,-0.1,0.42,0.37,0.14,0.16,2.2,1.7,0.2,-10.1,-40.4
"AUG",0.2,"NUT",34,0.2,0,0,0,0.42,0.43,0.14,0.13,2.2,2.4,0.2,4.1,-40.4
"AUG",0.2,"WLA",12,0.2,0.1,0,-0.1,0.42,0.52,0.26,0.26,2.2,2,0.4,-4.1,-36.4
"AUG",0.2,"SLA",5,0.1,0,-0.1,-0.2,0.26,0.26,0.14,0.09,2.2,1,0.3,-24.3,-38.4
"SEP",0.6,"SEL",8,0.94,0.2,0.34,-0.4,0.73,0.76,0.27,0.23,4.2,5.47,0.5,18.3,-53.3
"SEP",0.6,"WEL",8,0.3,0,-0.3,-0.5,0.32,0.29,0.17,0.13,4.2,2.6,0.3,-23,-56.2
"SEP",0.6,"NUT",36,0.6,0.1,0,0.1,0.52,0.51,0.22,0.17,4.2,4.8,0.2,8.7,-57.6
"SEP",0.6,"WLA",11,0.7,0.1,0.1,-0.5,0.58,0.6,0.22,0.31,4.2,4.7,0.5,7.2,-53.3
"SEP",0.6,"SLA",5,0.3,0.2,-0.3,-0.4,0.32,0.4,0.27,0.36,4.2,3.4,0.4,-11.5,-54.7
"OCT",1.4,"SEL",10,2.39,0.2,0.99,-1.2,0.76,0.67,0.19,0.17,6,6.02,0.7,0.2,-60.6
"OCT",1.4,"WEL",10,1.2,0.2,-0.2,-1.2,0.43,0.37,0.19,0.17,6,4.2,0.3,-20.6,-65.2
"OCT",1.4,"NUT",30,1.6,0.1,0.2,0.1,0.55,0.5,0.17,0.16,6,6.4,0.2,4.5,-66.3
"OCT",1.4,"WLA",10,1.1,0.2,-0.3,-1.2,0.41,0.61,0.19,0.19,6,7.4,0.6,16,-61.7
"OCT",1.4,"SLA",8,0.6,0.1,-0.8,-1.3,0.27,0.36,0.17,0.16,6,6.8,0.7,9.1,-60.6
"NOV",2.2,"SEL",14,2.14,0.1,-0.06,-2.1,0.48,0.58,0.19,0.28,8.1,5.25,0.7,-26.3,-68.2
"NOV",2.2,"WEL",12,1.1,0.1,-1.1,-2,0.32,0.42,0.19,0.28,8.1,6.6,0.6,-13.8,-69.1
"NOV",2.2,"NUT",22,2.6,0,0.4,0,0.56,0.5,0.18,0.13,8.1,9.8,0.6,15.7,-69.1
"NOV",2.2,"WLA",11,2.9,0.2,0.7,-2,0.61,0.54,0.2,0.15,8.1,9.5,0.7,12.9,-68.2
"NOV",2.2,"SLA",11,2.5,0.1,0.3,-2.1,0.54,0.47,0.19,0.14,8.1,10,1,17.5,-65.5
"DEC",2.4,"SEL",13,1.49,0.4,-0.91,-2,0.34,0.4,0.17,0.2,7.9,4,0.9,-36.6,-65.7
"DEC",2.4,"WEL",11,1.9,0,-0.5,-2.2,0.41,0.49,0.13,0.15,7.9,7.6,0.7,-2.8,-67.6
"DEC",2.4,"NUT",22,2.2,0.1,-0.2,0.1,0.47,0.51,0.14,0.12,7.9,9.3,0.8,13.2,-66.7
"DEC",2.4,"WLA",11,3.4,0.2,1,-2.2,0.69,0.55,0.15,0.12,7.9,9.1,1.1,11.3,-63.8
"DEC",2.4,"SLA",9,3.7,0.5,1.3,-1.9,0.73,0.6,0.19,0.15,7.9,9,1,10.4,-64.8
