"DT","SP"
1920-01-01,0
1920-02-01,0
1920-03-01,0
1920-04-01,0
1920-05-01,0
1920-06-01,0
1920-07-01,0
1920-08-01,0
1920-09-01,0
1920-10-01,0
1920-11-01,0
1920-12-01,0
1921-01-01,0.0146352192653063
1921-02-01,0
1921-03-01,0
1921-04-01,0
1921-05-01,0
1921-06-01,0
1921-07-01,0
1921-08-01,0.00790169005978834
1921-09-01,0.00373965612794429
1921-10-01,0
1921-11-01,0
1921-12-01,0.193416674234291
1922-01-01,0.349999795704897
1922-02-01,0.356355951037245
1922-03-01,0.235308086613699
1922-04-01,0.176674129921265
1922-05-01,0.21810854436899
1922-06-01,0.299581534002974
1922-07-01,0.280566664790074
1922-08-01,0.259597058779145
1922-09-01,0.0186749510010804
1922-10-01,0.0897489688068732
1922-11-01,0.239030503635395
1922-12-01,0.554165180767805
1923-01-01,0
1923-02-01,0
1923-03-01,0
1923-04-01,0
1923-05-01,0
1923-06-01,0
1923-07-01,0
1923-08-01,0
1923-09-01,0
1923-10-01,0
1923-11-01,0
1923-12-01,0
1924-01-01,0
1924-02-01,0
1924-03-01,0
1924-04-01,0
1924-05-01,0
1924-06-01,0
1924-07-01,0
1924-08-01,0
1924-09-01,0
1924-10-01,0
1924-11-01,0
1924-12-01,0
1925-01-01,0
1925-02-01,0
1925-03-01,0
1925-04-01,0.0322732621705608
1925-05-01,0.0738864272031166
1925-06-01,0.0728702871951776
1925-07-01,0.382130679915439
1925-08-01,0.376604097202349
1925-09-01,0.401030172454908
1925-10-01,0.293882988368229
1925-11-01,0.480809552458487
1925-12-01,0.8223528979595
1926-01-01,0.596651896127852
1926-02-01,0.658630438546954
1926-03-01,0.822675830940578
1926-04-01,0.853799596584095
1926-05-01,0.855789579898069
1926-06-01,0.168019473147855
1926-07-01,0.166205260277623
1926-08-01,0.131194033347053
1926-09-01,0.109827723942218
1926-10-01,0.182231328506191
1926-11-01,0.205992886553396
1926-12-01,0.535948195440559
1927-01-01,0.506111986042811
1927-02-01,0.0977021612066963
1927-03-01,0
1927-04-01,0
1927-05-01,0
1927-06-01,0
1927-07-01,0
1927-08-01,0
1927-09-01,0
1927-10-01,0
1927-11-01,0
1927-12-01,0
1928-01-01,0
1928-02-01,0
1928-03-01,0
1928-04-01,0
1928-05-01,0
1928-06-01,0
1928-07-01,0
1928-08-01,0
1928-09-01,0.00373965612794429
1928-10-01,0
1928-11-01,0.14094234063577
1928-12-01,1.48278773973666
1929-01-01,0.690209090456698
1929-02-01,0.512398367013899
1929-03-01,0.576445105320889
1929-04-01,0.674240792072356
1929-05-01,0.60229136506536
1929-06-01,0.637284203740083
1929-07-01,0.652490582290323
1929-08-01,0.644316529548166
1929-09-01,0.540400579068907
1929-10-01,0.531006341740726
1929-11-01,0
1929-12-01,0
1930-01-01,0
1930-02-01,0
1930-03-01,0
1930-04-01,0
1930-05-01,0
1930-06-01,0
1930-07-01,0
1930-08-01,0
1930-09-01,0
1930-10-01,0
1930-11-01,0
1930-12-01,0
1931-01-01,0.138100967083036
1931-02-01,0.407445811397054
1931-03-01,0.612915459956273
1931-04-01,0.397609456320991
1931-05-01,0.301215500106116
1931-06-01,0.33337434069002
1931-07-01,0.263965996075415
1931-08-01,0.325895613417518
1931-09-01,0.41808448363833
1931-10-01,0.326579708256579
1931-11-01,0.88542305227512
1931-12-01,0.665975699500042
1932-01-01,0.633698246492557
1932-02-01,0
1932-03-01,0
1932-04-01,0
1932-05-01,0
1932-06-01,0
1932-07-01,0
1932-08-01,0
1932-09-01,0
1932-10-01,0
1932-11-01,0
1932-12-01,0
1933-01-01,0
1933-02-01,0.459445568487105
1933-03-01,0.417932779219986
1933-04-01,0.468905623215096
1933-05-01,0.492492513416344
1933-06-01,0.694393130792941
1933-07-01,0.729119662611952
1933-08-01,0.73949535661769
1933-09-01,0.862080981429663
1933-10-01,0.849300069897608
1933-11-01,0.803763601236453
1933-12-01,0.225970211733362
1934-01-01,0.234055088826642
1934-02-01,0.476988384590406
1934-03-01,0.706256556968013
1934-04-01,0.980244091642346
1934-05-01,0.855789579898069
1934-06-01,0.4547335221912
1934-07-01,0.39939764049475
1934-08-01,0.342702382550146
1934-09-01,0.187913993690123
1934-10-01,0.0445446044465097
1934-11-01,0.14094234063577
1934-12-01,0.743059651527885
1935-01-01,0.217851210186045
1935-02-01,0.306135855014836
1935-03-01,0.140224992307035
1935-04-01,0.193127264442333
1935-05-01,0.26770271747568
1935-06-01,0.526381916314837
1935-07-01,0.559535726557202
1935-08-01,0.607137432067692
1935-09-01,0.687053148218575
1935-10-01,0.713636427688814
1935-11-01,0.516990505061811
1935-12-01,0.499855219196682
1936-01-01,0.615113748810339
1936-02-01,0.306135855014836
1936-03-01,0.366986876043715
1936-04-01,0.327941706479179
1936-05-01,0.301215500106116
1936-06-01,0.249584862619145
1936-07-01,0.198449109723822
1936-08-01,0.131194033347053
1936-09-01,0.0336820782837493
1936-10-01,0
1936-11-01,0
1936-12-01,0
1937-01-01,0
1937-02-01,0
1937-03-01,0
1937-04-01,0
1937-05-01,0
1937-06-01,0
1937-07-01,0
1937-08-01,0
1937-09-01,0
1937-10-01,0
1937-11-01,0
1937-12-01,0
1938-01-01,0
1938-02-01,0
1938-03-01,0.0329124228375086
1938-04-01,0
1938-05-01,0
1938-06-01,0
1938-07-01,0
1938-08-01,0
1938-09-01,0
1938-10-01,0
1938-11-01,0
1938-12-01,0
1939-01-01,0
1939-02-01,0.322781608551356
1939-03-01,0.155866298554183
1939-04-01,0
1939-05-01,0
1939-06-01,0
1939-07-01,0
1939-08-01,0
1939-09-01,0
1939-10-01,0
1939-11-01,0
1939-12-01,0
1940-01-01,0
1940-02-01,0
1940-03-01,0
1940-04-01,0
1940-05-01,0
1940-06-01,0
1940-07-01,0
1940-08-01,0
1940-09-01,0
1940-10-01,0
1940-11-01,0
1940-12-01,0
1941-01-01,0
1941-02-01,0
1941-03-01,0.0784472164194909
1941-04-01,0.22629199165648
1941-05-01,0.639838271371747
1941-06-01,0.402117322480654
1941-07-01,0.487277907068979
1941-08-01,0.68199665955226
1941-09-01,0.842055504343687
1941-10-01,0.120262459409305
1941-11-01,0.445063961961012
1941-12-01,0.535948195440559
1942-01-01,0.578310626102471
1942-02-01,0.442008618521678
1942-03-01,0.203279805809545
1942-04-01,0
1942-05-01,0
1942-06-01,0.120085823339134
1942-07-01,0.118457031240099
1942-08-01,0.115514039415857
1942-09-01,0.0944474007605386
1942-10-01,0.277671135903462
1942-11-01,0
1942-12-01,0
1943-01-01,0
1943-02-01,0
1943-03-01,0
1943-04-01,0
1943-05-01,0
1943-06-01,0
1943-07-01,0
1943-08-01,0
1943-09-01,0
1943-10-01,0
1943-11-01,0
1943-12-01,0
1944-01-01,1.14561054363055
1944-02-01,1.06271824544767
1944-03-01,0.171588466696847
1944-04-01,0.259809285974477
1944-05-01,0.528633849947428
1944-06-01,0.33337434069002
