"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"JAN",2.7,"SEL",10,1.6,0,-1.1,-2.7,0.36,0.4,0.19,0.22,5.8,3.18,0.2,-30.6,-65.5
"JAN",2.7,"WEL",13,3.1,0.2,0.4,-2.5,0.55,0.59,0.2,0.24,5.8,5.7,0.6,-1.2,-60.8
"JAN",2.7,"NUT",20,3.1,0.1,0.4,0.1,0.55,0.49,0.19,0.11,5.8,6.4,0.4,7,-63.2
"JAN",2.7,"WLA",17,2.3,0.2,-0.4,-2.5,0.44,0.43,0.2,0.22,5.8,6.4,0.6,7,-60.8
"JAN",2.7,"SLA",10,3.9,0.3,1.2,-2.4,0.65,0.61,0.21,0.23,5.8,6,0.5,2.3,-62
"FEB",1.9,"SEL",9,0.79,0.2,-1.11,-1.7,0.28,0.34,0.19,0.2,4.4,2.13,0.3,-31.7,-57.4
"FEB",1.9,"WEL",8,1.8,0.2,-0.1,-1.6,0.47,0.63,0.19,0.2,4.4,3.5,0.6,-12.6,-53.1
"FEB",1.9,"NUT",27,2.2,0.2,0.3,0.2,0.55,0.5,0.19,0.17,4.4,4.6,0.3,2.8,-57.4
"FEB",1.9,"WLA",16,2.4,0.3,0.5,-1.6,0.59,0.56,0.2,0.2,4.4,5.5,0.4,15.4,-55.9
"FEB",1.9,"SLA",8,1.2,0.2,-0.7,-1.7,0.35,0.34,0.19,0.19,4.4,8,6.1,50.4,23.8
"MAR",1.2,"SEL",7,0.79,0,-0.41,-1.2,0.4,0.5,0.22,0.25,3.2,2.24,0.4,-16.2,-47.1
"MAR",1.2,"WEL",5,0.8,0.2,-0.4,-1.1,0.4,0.51,0.26,0.31,3.2,2.4,0.4,-13.4,-47.1
"MAR",1.2,"NUT",37,1.1,0.1,-0.1,0.1,0.48,0.49,0.24,0.18,3.2,3.2,0.1,0,-52.1
"MAR",1.2,"WLA",16,1.7,0.1,0.5,-1.1,0.63,0.53,0.24,0.25,3.2,3.3,0.1,1.7,-52.1
"MAR",1.2,"SLA",3,0.9,0,-0.3,-1.2,0.42,0.38,0.22,0.24,3.2,6.9,6,62.2,47.1
"APR",1.3,"SEL",2,0.55,0.1,-0.75,-1.2,0.3,0.35,0.2,0.18,2.6,2.52,0.8,-1.5,-33.7
"APR",1.3,"WEL",11,0.9,0.2,-0.4,-1.3,0.39,0.52,0.22,0.21,2.6,2.4,0.2,-3.8,-44.9
"APR",1.3,"NUT",41,1.3,0,0,0,0.51,0.51,0.18,0.19,2.6,2.7,0,1.8,-48.6
"APR",1.3,"WLA",14,1.4,0,0.1,-1.3,0.54,0.45,0.18,0.15,2.6,2.1,0,-9.3,-48.6
"APR",1.3,"SLA",1,5.9,5.9,4.6,4.6,1,1,1,1,2.6,6.2,6.1,67.3,65.4
"MAY",0.7,"SEL",2,0.9,0.3,0.2,-0.4,0.61,0.6,0.34,0.28,1.9,2.4,0.8,10.8,-23.7
"MAY",0.7,"WEL",14,0.7,0,0,-0.7,0.52,0.49,0.22,0.16,1.9,2.1,0.1,4.3,-38.7
"MAY",0.7,"NUT",40,0.8,0,0.1,0,0.56,0.49,0.22,0.2,1.9,2,0,2.1,-40.9
"MAY",0.7,"WLA",12,0.2,0,-0.5,-0.7,0.29,0.47,0.22,0.11,1.9,1.2,0.1,-15.1,-38.7
"MAY",0.7,"SLA",1,0.1,0.1,-0.6,-0.6,0.26,0.26,0.26,0.26,1.9,0.6,0.5,-27.9,-30.1
"JUN",0.6,"SEL",3,1.07,0.4,0.47,-0.2,0.73,0.64,0.38,0.31,1.7,2.73,0.6,23.2,-24.7
"JUN",0.6,"WEL",12,0.8,0,0.2,-0.6,0.6,0.51,0.2,0.16,1.7,2.1,0.2,9,-33.7
"JUN",0.6,"NUT",40,0.6,0,0,0,0.49,0.49,0.2,0.22,1.7,1.6,0,-2.2,-38.2
"JUN",0.6,"WLA",11,0.5,0,-0.1,-0.6,0.44,0.56,0.2,0.15,1.7,1.4,0.2,-6.7,-33.7
"JUN",0.6,"SLA",2,0.2,0.1,-0.4,-0.5,0.28,0.28,0.24,0.21,1.7,0.6,0.4,-24.7,-29.2
"JUL",0.6,"SEL",6,0.43,0.1,-0.17,-0.5,0.4,0.4,0.2,0.1,1.7,2.61,0.3,20.5,-31.5
"JUL",0.6,"WEL",8,0.6,0.1,0,-0.5,0.52,0.62,0.2,0.1,1.7,1.8,0.3,2.2,-31.5
"JUL",0.6,"NUT",41,0.6,0,0,0,0.52,0.48,0.16,0.18,1.7,1.7,0,0,-38.2
"JUL",0.6,"WLA",9,0.5,0.1,-0.1,-0.5,0.45,0.58,0.2,0.16,1.7,1.6,0.3,-2.2,-31.5
"JUL",0.6,"SLA",2,0.3,0.3,-0.3,-0.3,0.32,0.34,0.32,0.34,1.7,0.8,0.5,-20.3,-27
"AUG",0.5,"SEL",7,1.23,0.1,0.73,-0.4,0.84,0.62,0.27,0.25,2.2,3.86,0.4,33.6,-36.4
"AUG",0.5,"WEL",12,0.7,0.1,0.2,-0.4,0.59,0.44,0.27,0.25,2.2,2.4,0.4,4.1,-36.4
"AUG",0.5,"NUT",34,0.4,0,-0.1,0,0.43,0.46,0.23,0.16,2.2,2.3,0,2.1,-44.5
"AUG",0.5,"WLA",12,0.4,0.1,-0.1,-0.4,0.43,0.64,0.27,0.19,2.2,1.8,0.4,-8.1,-36.4
