"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"JAN",4.7,"SEL",10,3.31,1.3,-1.39,-3.4,0.33,0.44,0.13,0.2,13.9,8.74,3.4,-31,-63.1
"JAN",4.7,"WEL",13,4.2,1.1,-0.5,-4.3,0.44,0.56,0.12,0.18,13.9,13.5,4.8,-2.4,-54.7
"JAN",4.7,"NUT",20,5.9,1.1,1.2,1.1,0.66,0.5,0.12,0.06,13.9,15.6,2.9,10.2,-66.1
"JAN",4.7,"WLA",17,4,0.4,-0.7,-4.3,0.41,0.41,0.08,0.07,13.9,14.3,3.8,2.4,-60.7
"JAN",4.7,"SLA",10,5.7,1.3,1,-3.4,0.63,0.64,0.13,0.12,13.9,13.6,2.2,-1.8,-70.3
"FEB",4.4,"SEL",9,2.89,1.1,-1.51,-3.3,0.3,0.36,0.13,0.16,12.9,6.63,3,-40.1,-63.3
"FEB",4.4,"WEL",8,4.6,2,0.2,-2.2,0.52,0.6,0.21,0.25,12.9,12.2,4.6,-4.5,-53
"FEB",4.4,"NUT",27,4.6,0.8,0.2,0.8,0.52,0.5,0.11,0.14,12.9,13.3,2.4,2.6,-67.1
"FEB",4.4,"WLA",16,5,2.2,0.6,-2.2,0.58,0.56,0.23,0.16,12.9,15,3.9,13.4,-57.5
"FEB",4.4,"SLA",8,3.8,0.5,-0.6,-3.9,0.42,0.37,0.09,0.04,12.9,15.5,8.5,16.6,-28.1
"MAR",4.8,"SEL",7,2.54,1,-2.26,-3.8,0.25,0.38,0.13,0.21,11.3,7.74,5.1,-25.3,-44.1
"MAR",4.8,"WEL",5,4.7,1.7,-0.1,-3.6,0.49,0.66,0.18,0.29,11.3,11.1,3.3,-1.4,-56.9
"MAR",4.8,"NUT",37,5.1,1,0.3,1,0.54,0.49,0.13,0.1,11.3,11.5,2,1.4,-66.2
"MAR",4.8,"WLA",16,5.3,1.2,0.5,-3.6,0.56,0.54,0.14,0.14,11.3,12.2,2,6.4,-66.2
"MAR",4.8,"SLA",3,4.1,0.4,-0.7,-4.4,0.42,0.4,0.09,0.1,11.3,14.4,10.7,22.1,-4.3
"APR",3.7,"SEL",2,1.2,0.9,-2.5,-2.8,0.23,0.18,0.21,0.14,8.4,7.97,6.4,-3.9,-18
"APR",3.7,"WEL",11,2.9,0.9,-0.8,-3.2,0.41,0.56,0.21,0.14,8.4,8.4,2.3,0,-54.7
"APR",3.7,"NUT",41,3.6,0.6,-0.1,0.6,0.49,0.5,0.18,0.1,8.4,8.5,1.4,0.9,-62.8
"APR",3.7,"WLA",14,4.7,0.5,1,-3.2,0.62,0.5,0.18,0.24,8.4,8,1.4,-3.6,-62.8
"APR",3.7,"SLA",1,7.6,7.6,3.9,3.9,0.88,0.69,0.88,0.69,8.4,11.2,11.2,25.1,25.1
"MAY",2.8,"SEL",2,4,3.2,1.2,0.4,0.76,0.59,0.59,0.44,7.6,9.12,6.8,14.7,-7.7
"MAY",2.8,"WEL",14,3.5,0.7,0.7,-2.5,0.66,0.49,0.1,0.09,7.6,8.6,2.7,9.7,-47.4
"MAY",2.8,"NUT",40,2.8,0.4,0,0.4,0.49,0.5,0.07,0.05,7.6,8,1.7,3.9,-57
"MAY",2.8,"WLA",12,2.2,0.3,-0.6,-2.5,0.35,0.51,0.07,0.09,7.6,5.9,2,-16.4,-54.1
"MAY",2.8,"SLA",1,2.7,2.7,-0.1,-0.1,0.47,0.65,0.47,0.65,7.6,6,5.7,-15.4,-18.4
