"DT","SP"
1920-01-01,0
1920-02-01,0
1920-03-01,0
1920-04-01,0
1920-05-01,0
1920-06-01,0
1920-07-01,0
1920-08-01,0
1920-09-01,0
1920-10-01,0
1920-11-01,0
1920-12-01,1.20138927591242
1921-01-01,0.469597397380305
1921-02-01,0.342935996741147
1921-03-01,0.692734475055903
1921-04-01,0.511891526760332
1921-05-01,0.540825107848442
1921-06-01,0.550601006963824
1921-07-01,0.31065546260525
1921-08-01,0.246242213312925
1921-09-01,0.182513664744822
1921-10-01,0.155404070557161
1921-11-01,0
1921-12-01,0
1922-01-01,0
1922-02-01,0
1922-03-01,0
1922-04-01,0
1922-05-01,0
1922-06-01,0
1922-07-01,0
1922-08-01,0
1922-09-01,0
1922-10-01,0
1922-11-01,0
1922-12-01,0
1923-01-01,0
1923-02-01,0
1923-03-01,0
1923-04-01,0
1923-05-01,0
1923-06-01,0
1923-07-01,0
1923-08-01,0
1923-09-01,0
1923-10-01,0
1923-11-01,0
1923-12-01,0
1924-01-01,0
1924-02-01,0
1924-03-01,0
1924-04-01,0
1924-05-01,0
1924-06-01,0
1924-07-01,0
1924-08-01,0
1924-09-01,0
1924-10-01,0
1924-11-01,0
1924-12-01,0
1925-01-01,0
1925-02-01,0
1925-03-01,0
1925-04-01,0
1925-05-01,0
1925-06-01,0
1925-07-01,0
1925-08-01,0
1925-09-01,0
1925-10-01,0
1925-11-01,0.206275476769988
1925-12-01,0.242305554147728
1926-01-01,0.275120476437497
1926-02-01,0.310797229874483
1926-03-01,0.863980685322188
1926-04-01,1.10514837004405
1926-05-01,1.22501674915624
1926-06-01,1.53630735819069
1926-07-01,1.62377359621344
1926-08-01,1.57454027697635
1926-09-01,1.59046477377958
1926-10-01,1.58302682517496
1926-11-01,1.80368358526499
1926-12-01,2.14322458666952
1927-01-01,1.36406699508831
1927-02-01,1.16691493844375
1927-03-01,0.783338648797148
1927-04-01,0.290705177921115
1927-05-01,0.157421549232291
1927-06-01,0.11557522996727
1927-07-01,0
1927-08-01,0.00332986183608875
1927-09-01,0
1927-10-01,0
1927-11-01,0
1927-12-01,0
1928-01-01,0
1928-02-01,0
1928-03-01,0
1928-04-01,0
1928-05-01,0
1928-06-01,0
1928-07-01,0
1928-08-01,0
1928-09-01,0.0718198247909947
1928-10-01,0.0943908920888716
1928-11-01,0.119713261730014
1928-12-01,0.960415873532441
1929-01-01,0.634862482431955
1929-02-01,0
1929-03-01,0
1929-04-01,0
1929-05-01,0.106252458942725
1929-06-01,0.0446616380803046
1929-07-01,0.237479080788163
1929-08-01,0.174265664580231
1929-09-01,0.295533514029067
1929-10-01,0.227459033838281
1929-11-01,0
1929-12-01,0
1930-01-01,0
1930-02-01,0
1930-03-01,0
1930-04-01,0
1930-05-01,0
1930-06-01,0
1930-07-01,0
1930-08-01,0
1930-09-01,0
1930-10-01,0
1930-11-01,0
1930-12-01,0
1931-01-01,0
1931-02-01,0.0296809869807777
1931-03-01,0.221044297120383
1931-04-01,0.148253580720071
1931-05-01,0.065656026721829
1931-06-01,0.1667920247204
1931-07-01,0
1931-08-01,0
1931-09-01,0
1931-10-01,0
1931-11-01,0.0662590109542898
1931-12-01,0
1932-01-01,0
1932-02-01,0
1932-03-01,0
1932-04-01,0
1932-05-01,0
1932-06-01,0
1932-07-01,0
1932-08-01,0
1932-09-01,0
1932-10-01,0
1932-11-01,0
1932-12-01,0
1933-01-01,0
1933-02-01,0.407789292517776
1933-03-01,0.303711872606286
1933-04-01,0.914908285063545
1933-05-01,1.19979416845875
1933-06-01,1.2611579861687
1933-07-01,1.58282307421118
1933-08-01,1.60166435632526
1933-09-01,1.71375076011107
1933-10-01,1.80577037402001
1933-11-01,1.98407935044507
1933-12-01,1.66360130677793
1934-01-01,1.76302612851612
1934-02-01,1.92950848965675
1934-03-01,2.35552511409829
1934-04-01,1.81093182134622
1934-05-01,1.31434515159696
1934-06-01,1.02506273494143
1934-07-01,0.971698108085108
1934-08-01,0.954571504647491
1934-09-01,0.854096036217261
1934-10-01,0.647724494821527
1934-11-01,0.439916373357621
1934-12-01,0.682811953621351
1935-01-01,0.343016135821204
1935-02-01,0
1935-03-01,0
1935-04-01,0
1935-05-01,0.240298456680609
1935-06-01,0.302248162085334
1935-07-01,0.342324409496241
1935-08-01,0.350768779602849
1935-09-01,0.442950936135272
1935-10-01,0.482100826318376
1935-11-01,0.612936909923368
1935-12-01,0.741942007555573
1936-01-01,1.17559142526032
1936-02-01,1.38579695768593
1936-03-01,1.18801819879065
1936-04-01,0.822498392347686
1936-05-01,0.596328905464694
1936-06-01,0.662339897168669
1936-07-01,0.47091745591925
1936-08-01,0.298249970808413
1936-09-01,0.223335961696666
1936-10-01,0.175894018600602
1936-11-01,0.0662590109542898
1936-12-01,0
1937-01-01,0
1937-02-01,0
1937-03-01,0
1937-04-01,0
1937-05-01,0
1937-06-01,0
1937-07-01,0
1937-08-01,0
1937-09-01,0
1937-10-01,0
1937-11-01,0
1937-12-01,0
1938-01-01,0
1938-02-01,0
1938-03-01,0
1938-04-01,0
1938-05-01,0
1938-06-01,0
1938-07-01,0
1938-08-01,0
1938-09-01,0
1938-10-01,0
1938-11-01,0
1938-12-01,0
1939-01-01,0
1939-02-01,0
1939-03-01,0
1939-04-01,0
1939-05-01,0.229869759888627
1939-06-01,0.239310253552948
1939-07-01,0.134627220387493
1939-08-01,0.277386269373734
1939-09-01,0
1939-10-01,0
1939-11-01,0
1939-12-01,0
1940-01-01,0
1940-02-01,0
1940-03-01,0
1940-04-01,0.332119691903382
1940-05-01,0
1940-06-01,0.0446616380803046
1940-07-01,0.0637652297435872
1940-08-01,0
1940-09-01,0
1940-10-01,0
1940-11-01,0
1940-12-01,0
1941-01-01,0.423245417709897
1941-02-01,0.528751876258675
1941-03-01,0.408891774075816
1941-04-01,0.332119691903382
1941-05-01,0.641160400401282
1941-06-01,0.408806992765945
1941-07-01,0.470917455919249
1941-08-01,0.756681297579912
1941-09-01,0.672215962548624
1941-10-01,0
1941-11-01,0
1941-12-01,0
1942-01-01,0
1942-02-01,0
1942-03-01,0
1942-04-01,0
1942-05-01,0
1942-06-01,0
1942-07-01,0
1942-08-01,0
1942-09-01,0
1942-10-01,0
1942-11-01,0
1942-12-01,0
1943-01-01,0
1943-02-01,0
1943-03-01,0
1943-04-01,0.00948980929527109
1943-05-01,0
1943-06-01,0
1943-07-01,0
1943-08-01,0
1943-09-01,0
1943-10-01,0.18616795576214
1943-11-01,0.360965115758397
1943-12-01,0.407610057341629
1944-01-01,1.17559142526032
1944-02-01,1.37264569097098
1944-03-01,0.625828446126722
1944-04-01,0.642677278684899
1944-05-01,0.871354469118239
1944-06-01,0.788105112381177
1944-07-01,1.04399870362854
1944-08-01,1.12368774716798
1944-09-01,1.17704526989092
1944-10-01,0.983944561706906
1944-11-01,0.852424516308787
1944-12-01,0.825836934245274
1945-01-01,0.93003941517829
