"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1921-05","1927-12","38","-0.39","-1.53","-14.72"
"1928-12","1929-02","2","-0.82","-1.15","-1.65"
"1929-03","1937-01","68","-0.67","-1.41","-45.33"
"1938-02","1946-01","46","-0.42","-2.56","-19.39"
"1946-04","1948-01","20","-0.49","-1.23","-9.74"
"1949-03","1954-12","46","-0.92","-1.94","-42.14"
"1957-01","1961-04","28","-0.79","-1.36","-22.13"
"1962-11","1965-02","16","-0.8","-1.61","-12.82"
"1966-11","1973-01","28","-0.59","-1.49","-16.5"
"1973-02","1974-01","11","-1.16","-1.41","-12.77"
"1975-01","1978-12","47","-0.87","-1.85","-40.89"
"1981-01","1982-01","12","-1.05","-1.44","-12.61"
"1983-04","1985-11","31","-0.56","-1.63","-17.25"
"1987-03","1992-11","13","-0.75","-1.26","-9.7"
"1993-12","1996-02","26","-0.68","-1.17","-17.76"
"1998-01","2002-05","52","-1.39","-2.51","-72.12"
"2002-12","2014-01","95","-1","-2.52","-95.32"
"2016-03","2017-02","11","-0.47","-1.12","-5.16"
"2019-04","2019-12","9","-0.41","-0.91","-3.68"
