"DT","SP"
1920-01-01,0
1920-02-01,0
1920-03-01,0
1920-04-01,0
1920-05-01,0
1920-06-01,0
1920-07-01,0
1920-08-01,0
1920-09-01,0
1920-10-01,0
1920-11-01,0
1920-12-01,0.861772125151367
1921-01-01,0
1921-02-01,0
1921-03-01,0.327825874791994
1921-04-01,0.174237251456149
1921-05-01,0.161032589204297
1921-06-01,0.182507765137268
1921-07-01,0.111154756628643
1921-08-01,0.0461799577679563
1921-09-01,0.16273221898147
1921-10-01,0.240774501081054
1921-11-01,0
1921-12-01,0
1922-01-01,0.316472299041636
1922-02-01,0
1922-03-01,0
1922-04-01,0
1922-05-01,0
1922-06-01,0
1922-07-01,0
1922-08-01,0
1922-09-01,0
1922-10-01,0
1922-11-01,0
1922-12-01,0
1923-01-01,0
1923-02-01,0
1923-03-01,0
1923-04-01,0
1923-05-01,0
1923-06-01,0
1923-07-01,0
1923-08-01,0
1923-09-01,0
1923-10-01,0
1923-11-01,0
1923-12-01,0
1924-01-01,0
1924-02-01,0
1924-03-01,0
1924-04-01,0
1924-05-01,0
1924-06-01,0
1924-07-01,0
1924-08-01,0
1924-09-01,0.0159082006864836
1924-10-01,0
1924-11-01,0
1924-12-01,0.326114239053871
1925-01-01,0
1925-02-01,0.112180622091251
1925-03-01,0
1925-04-01,0
1925-05-01,0
1925-06-01,0
1925-07-01,0
1925-08-01,0
1925-09-01,0
1925-10-01,0.350305116758574
1925-11-01,0.326247748239094
1925-12-01,0.405851668769788
1926-01-01,0.953836616286427
1926-02-01,0.690505212747798
1926-03-01,1.53220950912874
1926-04-01,2.01699992057664
1926-05-01,2.13047987464307
1926-06-01,2.4228711792196
1926-07-01,2.42666458781441
1926-08-01,2.32770748256837
1926-09-01,2.41022213806733
1926-10-01,2.41159566897715
1926-11-01,2.82655635280907
1926-12-01,2.06537433848238
1927-01-01,1.6266467156533
1927-02-01,1.64004063340706
1927-03-01,0.871958293835223
1927-04-01,0.564578854422157
1927-05-01,0.261925895177603
1927-06-01,0.0934297983982214
1927-07-01,0
1927-08-01,0
1927-09-01,0
1927-10-01,0
1927-11-01,0
1927-12-01,0
1928-01-01,0
1928-02-01,0
1928-03-01,0
1928-04-01,0
1928-05-01,0
1928-06-01,0
1928-07-01,0
1928-08-01,0
1928-09-01,0
1928-10-01,0
1928-11-01,0
1928-12-01,0.51497218085402
1929-01-01,0.540903289252
1929-02-01,0.11952184170861
1929-03-01,0
1929-04-01,0
1929-05-01,0
1929-06-01,0
1929-07-01,0
1929-08-01,0
1929-09-01,0.0549833683494068
1929-10-01,0.369372791429042
1929-11-01,0.107751626079932
1929-12-01,0.365868873179482
1930-01-01,0.540903289252
1930-02-01,0.881519924365946
1930-03-01,0.77721324132004
1930-04-01,0.437898924880541
1930-05-01,0.254666889735431
1930-06-01,0
1930-07-01,0.0547871455666002
1930-08-01,0
1930-09-01,0
1930-10-01,0
1930-11-01,0
1930-12-01,0
1931-01-01,0
1931-02-01,0
1931-03-01,0
1931-04-01,0.027324640903865
1931-05-01,0.150314897795866
1931-06-01,0.49113841710911
1931-07-01,0.363686956421642
1931-08-01,0.590015624032307
1931-09-01,0.51610985257925
1931-10-01,0.453928389729433
1931-11-01,0.702568166077126
1931-12-01,0.814772759721471
1932-01-01,0
1932-02-01,0
1932-03-01,0
1932-04-01,0
1932-05-01,0
1932-06-01,0
1932-07-01,0
1932-08-01,0
1932-09-01,0
1932-10-01,0
1932-11-01,0
1932-12-01,0
1933-01-01,0
1933-02-01,0.245558041066483
1933-03-01,0.053182491625863
1933-04-01,0.0759259224695683
1933-05-01,0.175350314619435
1933-06-01,0.182507765137269
1933-07-01,0.363686956421642
1933-08-01,0.411986153577287
1933-09-01,0.477990176050418
1933-10-01,0.481061158186413
1933-11-01,0.69433781294102
1933-12-01,1.22308689104988
1934-01-01,1.80744222942155
1934-02-01,1.93719017517904
1934-03-01,2.13902753521972
1934-04-01,2.20947309734058
1934-05-01,1.82495415928516
1934-06-01,1.57145015832034
1934-07-01,1.35973104633866
1934-08-01,1.23278996416793
1934-09-01,0.951366100219869
1934-10-01,0.504407277848757
1934-11-01,0.260357802838228
1934-12-01,0
1935-01-01,0.000109067491532617
1935-02-01,0
1935-03-01,0
1935-04-01,0
1935-05-01,0
1935-06-01,0
1935-07-01,0
1935-08-01,0
1935-09-01,0
1935-10-01,0
1935-11-01,0
1935-12-01,0.138363931750051
1936-01-01,0.300121792495599
1936-02-01,1.061480942546
1936-03-01,0.9440057200835
1936-04-01,0.897177385008758
1936-05-01,0.701658661959639
1936-06-01,0.748577980359258
1936-07-01,0.622804848796123
1936-08-01,0.105129890378042
1936-09-01,0
1936-10-01,0
1936-11-01,0
1936-12-01,0
1937-01-01,0
1937-02-01,0
1937-03-01,0
1937-04-01,0
1937-05-01,0
1937-06-01,0
1937-07-01,0
1937-08-01,0
1937-09-01,0
1937-10-01,0
1937-11-01,0
1937-12-01,0
1938-01-01,0
1938-02-01,0
1938-03-01,0
1938-04-01,0
1938-05-01,0
1938-06-01,0
1938-07-01,0
1938-08-01,0
1938-09-01,0
1938-10-01,0
1938-11-01,0
1938-12-01,0
1939-01-01,0
1939-02-01,0
1939-03-01,0
1939-04-01,0
1939-05-01,0
1939-06-01,0
1939-07-01,0
1939-08-01,0
1939-09-01,0
1939-10-01,0
1939-11-01,0
1939-12-01,0
1940-01-01,0
1940-02-01,0.101183654027149
1940-03-01,1.10729266117168
1940-04-01,1.70165710350236
1940-05-01,1.7499926594028
1940-06-01,1.92020794921618
1940-07-01,1.91972719356878
1940-08-01,1.22859887668037
1940-09-01,1.09233787863138
1940-10-01,1.01523436164125
1940-11-01,1.16310935212667
1940-12-01,1.10635019379877
1941-01-01,0.904752783121588
1941-02-01,0.927067617711784
1941-03-01,0.79290170165599
1941-04-01,0.806425678027702
1941-05-01,0.49489679816751
1941-06-01,0.434921326704555
1941-07-01,0.535240362427745
1941-08-01,0.754004556811608
1941-09-01,0.569862498652696
1941-10-01,0
1941-11-01,0
1941-12-01,0
1942-01-01,0
1942-02-01,0
1942-03-01,0
1942-04-01,0
1942-05-01,0
1942-06-01,0
1942-07-01,0
1942-08-01,0
1942-09-01,0
1942-10-01,0
1942-11-01,0
1942-12-01,0
1943-01-01,0
1943-02-01,0
1943-03-01,0.17657241180595
1943-04-01,0.415808237330534
1943-05-01,0.416290379529961
1943-06-01,0.23654527300172
1943-07-01,0.075868190877215
1943-08-01,0.119079182047197
1943-09-01,0.231892221774685
1943-10-01,0.508306384332654
1943-11-01,0.632932534456444
1943-12-01,0.498696899734383
1944-01-01,0.953836616286427
1944-02-01,0.412265316559022
1944-03-01,0.707110208437426
1944-04-01,0.512103662413903
1944-05-01,0.434918014173084
1944-06-01,0.67836288361876
1944-07-01,0.649701053294126
1944-08-01,0.669551660051114
1944-09-01,0.66308188477058
1944-10-01,0.365554877726468
1944-11-01,0
1944-12-01,0
