"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"JAN",9.6,"SEL",10,5.76,0.6,-3.84,-9,0.3,0.5,0.12,0.15,33.1,18.59,4,-40.5,-81.2
"JAN",9.6,"WEL",13,5.1,1.3,-4.5,-7.2,0.27,0.45,0.14,0.19,33.1,30.7,7.5,-6.7,-71.4
"JAN",9.6,"NUT",20,12.6,2.4,3,2.4,0.65,0.5,0.17,0.15,33.1,35.9,5.5,7.8,-77
"JAN",9.6,"WLA",17,9,2.4,-0.6,-7.2,0.47,0.4,0.17,0.1,33.1,37.3,8.8,11.7,-67.8
"JAN",9.6,"SLA",10,13.4,2.5,3.8,-7.1,0.69,0.67,0.17,0.1,33.1,36.1,9,8.4,-67.2
"FEB",11.1,"SEL",9,8.32,1.7,-2.78,-9.4,0.38,0.46,0.16,0.23,35.7,21.23,8.3,-37.6,-71.3
"FEB",11.1,"WEL",8,10.6,1.5,-0.5,-10.5,0.48,0.55,0.15,0.23,35.7,36.3,10.1,1.6,-66.6
"FEB",11.1,"NUT",27,10.3,1.5,-0.8,1.5,0.47,0.5,0.15,0.16,35.7,35.1,6,-1.6,-77.2
"FEB",11.1,"WLA",16,14,0.6,2.9,-10.5,0.62,0.53,0.13,0.07,35.7,42.4,9.5,17.4,-68.1
"FEB",11.1,"SLA",8,11.6,1,0.5,-10.1,0.52,0.42,0.14,0.08,35.7,50.6,34.4,38.8,-3.4
"MAR",12.4,"SEL",7,4.51,1.7,-7.89,-10.7,0.19,0.3,0.12,0.19,33.7,20.06,9.9,-37.4,-65.3
"MAR",12.4,"WEL",5,15,4.7,2.6,-6.6,0.62,0.77,0.2,0.3,33.7,35.7,12.1,5.5,-59.3
"MAR",12.4,"NUT",37,13,1.6,0.6,1.6,0.53,0.5,0.11,0.14,33.7,33.7,7.1,0,-73
"MAR",12.4,"WLA",16,14.3,5.8,1.9,-6.6,0.59,0.57,0.23,0.11,33.7,38.2,12.7,12.4,-57.6
"MAR",12.4,"SLA",3,11.1,5.5,-1.3,-6.9,0.44,0.36,0.22,0.1,33.7,53.5,47.9,54.3,39
"APR",12.2,"SEL",2,8.4,4.9,-3.8,-7.3,0.3,0.34,0.16,0.12,28.4,29.15,15.1,2.4,-42.7
"APR",12.2,"WEL",11,10.7,3.9,-1.5,-9.1,0.42,0.53,0.13,0.08,28.4,28.7,12.8,1,-50.1
"APR",12.2,"NUT",41,11.8,2.9,-0.4,2.9,0.48,0.5,0.1,0.11,28.4,27.9,8.4,-1.6,-64.2
"APR",12.2,"WLA",14,14.1,3.1,1.9,-9.1,0.6,0.47,0.1,0.09,28.4,28.9,8.8,1.6,-62.9
"APR",12.2,"SLA",1,27.9,27.9,15.7,15.7,0.98,0.93,0.98,0.93,28.4,47.4,47.3,61,60.7
"MAY",9.1,"SEL",2,7.15,3.3,-1.95,-5.8,0.34,0.29,0.11,0.09,25.4,32.43,16.5,25,-31.6
"MAY",9.1,"WEL",14,10,3.5,0.9,-5.3,0.58,0.53,0.12,0.09,25.4,27.8,13.6,8.5,-41.9
"MAY",9.1,"NUT",40,8.9,2.6,-0.2,2.6,0.49,0.5,0.08,0.09,25.4,25.3,10.4,-0.3,-53.3
"MAY",9.1,"WLA",12,9.8,3.8,0.7,-5.3,0.56,0.51,0.13,0.15,25.4,23.5,11,-6.8,-51.2
