"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1922-03","15","-0.69","-1.02","-10.31"
"1924-03","1927-05","38","-1.04","-2.51","-39.45"
"1928-09","1934-12","35","-0.7","-2.3","-24.58"
"1936-02","1942-03","31","-0.65","-1.58","-20.09"
"1942-10","1946-02","29","-0.5","-1.04","-14.62"
"1946-03","1950-05","30","-0.43","-1.15","-12.91"
"1952-10","1954-12","26","-0.84","-1.5","-21.78"
"1956-04","1960-04","24","-0.34","-1.02","-8.19"
"1960-12","1961-12","12","-0.5","-1.09","-5.97"
"1962-02","1964-02","23","-0.76","-2.29","-17.45"
"1964-04","1970-11","25","-0.51","-1.62","-12.69"
"1972-04","1974-04","20","-0.96","-2.05","-19.29"
"1974-11","1979-01","40","-0.83","-2.09","-33.08"
"1980-02","1980-03","1","-1.24","-1.24","-1.24"
"1981-03","1982-03","12","-1.33","-1.97","-15.99"
"1983-03","1985-03","24","-1.2","-2.07","-28.84"
"1985-04","1986-11","14","-0.8","-1.64","-11.21"
"1987-04","1994-02","37","-0.66","-2","-24.31"
"1995-02","1996-11","21","-0.74","-1.85","-15.64"
"1997-01","1999-02","18","-0.67","-1.4","-12.05"
"1999-06","2000-11","17","-0.7","-1.38","-11.93"
"2000-12","2002-01","13","-0.45","-1.27","-5.87"
"2003-01","2004-03","14","-1.53","-2.2","-21.39"
"2005-02","2005-09","7","-0.62","-1.16","-4.34"
"2007-03","2007-12","9","-0.8","-1.31","-7.21"
"2009-01","2009-06","4","-0.44","-1.23","-1.76"
"2010-03","2012-09","30","-1.12","-2.66","-33.65"
"2012-10","2014-07","21","-0.77","-1.41","-16.15"
"2015-02","2019-12","19","-0.36","-0.93","-6.93"
