,Month,ET,Year,MonthYr
0,July,25.85224358974359,2021,July 2021
1,August,22.765450017176228,2021,August 2021
2,September,34.85307837345257,2021,September 2021
3,October,29.090299518778696,2021,October 2021
4,November,29.84856329000553,2021,November 2021
5,December,17.950614613530384,2021,December 2021
6,January,29.483834110311058,2022,January 2022
7,February,34.035039928676746,2022,February 2022
8,March,20.33906158027055,2022,March 2022
9,April,20.84444444444445,2022,April 2022
10,May,23.38416666666667,2022,May 2022
11,June,25.54629120879121,2022,June 2022
