,Month,NDVI,Year,MonthYr
0,July,0.19776346153846153,2021,July 2021
1,August,0.22106978021978024,2021,August 2021
2,September,0.2182879120879121,2021,September 2021
3,October,0.20482087912087915,2021,October 2021
4,November,0.202675,2021,November 2021
5,December,0.35926895604395603,2021,December 2021
6,January,0.4567596153846154,2022,January 2022
7,February,0.37157747252747253,2022,February 2022
8,March,0.2781821428571429,2022,March 2022
9,April,0.20743461538461538,2022,April 2022
10,May,0.1877552197802198,2022,May 2022
11,June,0.20190137362637361,2022,June 2022
