,Month,NDVI,newMonth,newNDVI
0,1,0.7649834702837467,July,0.7150891594536
1,2,0.7397415385412309,August,0.7563371913051984
2,3,0.6892352066388048,September,0.7435699838622916
3,4,0.6657189477746335,October,0.7386296283158235
4,5,0.7296136551867363,November,0.7439586107344514
5,6,0.7150218377497642,December,0.752723491653377
6,7,0.7150891594536,January,0.7649834702837467
7,8,0.7563371913051984,February,0.7397415385412309
8,9,0.7435699838622916,March,0.6892352066388048
9,10,0.7386296283158235,April,0.6657189477746335
10,11,0.7439586107344514,May,0.7296136551867363
11,12,0.752723491653377,June,0.7150218377497642
