,Month,NDVI,newMonth,newNDVI
0,1,0.7679785339660341,July,0.48241021391419986
1,2,0.6854018734228734,August,0.5940428630510696
2,3,0.5897594097001372,September,0.6040305410083051
3,4,0.43124882571383555,October,0.6981994072077763
4,5,0.33153407699608384,November,0.7281309606202526
5,6,0.3604683599525729,December,0.7823566788766789
6,7,0.48241021391419986,January,0.7679785339660341
7,8,0.5940428630510696,February,0.6854018734228734
8,9,0.6040305410083051,March,0.5897594097001372
9,10,0.6981994072077763,April,0.43124882571383555
10,11,0.7281309606202526,May,0.33153407699608384
11,12,0.7823566788766789,June,0.3604683599525729
