,Unnamed: 0,Year,Month,RF_mm,RF_in,datetime
0,0,1920.0,January,82.85082531539646,3.261843516354192,1920-01-01
1,1,1920.0,February,10.433214884537916,0.4107564915172408,1920-02-01
2,2,1920.0,March,74.00762393206534,2.913685981577376,1920-03-01
3,3,1920.0,April,15.743691667297185,0.6198303806022514,1920-04-01
4,4,1920.0,May,13.779691340655264,0.542507533096664,1920-05-01
5,5,1920.0,June,21.440110313821823,0.8440988312528278,1920-06-01
6,6,1920.0,July,23.53621561851727,0.9266226621463494,1920-07-01
7,7,1920.0,August,8.964284940584172,0.3529246039600068,1920-08-01
8,8,1920.0,September,9.858956535892371,0.388147895113873,1920-09-01
9,9,1920.0,October,32.19321552254039,1.2674494300212753,1920-10-01
10,10,1920.0,November,46.69668161516359,1.8384520320930549,1920-11-01
11,11,1920.0,December,143.14068562885714,5.635460064128234,1920-12-01
12,12,1921.0,January,121.48268569856,4.782782901518111,1921-01-01
13,13,1921.0,February,35.67781790332681,1.404638500130977,1921-02-01
14,14,1921.0,March,17.998787812227327,0.7086136933947768,1921-03-01
15,15,1921.0,April,13.424547592563744,0.5285254957702261,1921-04-01
16,16,1921.0,May,22.05238972613092,0.8682043199264142,1921-05-01
17,17,1921.0,June,4.592557359729293,0.180809344871232,1921-06-01
18,18,1921.0,July,7.894140172992232,0.3107929201965446,1921-07-01
19,19,1921.0,August,7.007311338503685,0.2758783991536884,1921-08-01
20,20,1921.0,September,9.533530682501707,0.3753358536417995,1921-09-01
21,21,1921.0,October,56.50224080734704,2.2244976695805923,1921-10-01
22,22,1921.0,November,43.39700830899752,1.7085436342125009,1921-11-01
23,23,1921.0,December,98.7596101478712,3.888173627868946,1921-12-01
24,24,1922.0,January,55.03101399664343,2.16657535419856,1922-01-01
25,25,1922.0,February,29.28815683951745,1.153077040925884,1922-02-01
26,26,1922.0,March,31.1645241122274,1.2269497681979291,1922-03-01
27,27,1922.0,April,18.16537316593193,0.7151721718870838,1922-04-01
28,28,1922.0,May,7.18666343576104,0.2829395053449228,1922-05-01
29,29,1922.0,June,7.807081985755785,0.3073654325100702,1922-06-01
30,30,1922.0,July,7.493384783084576,0.2950151489403376,1922-07-01
31,31,1922.0,August,6.778762306687394,0.2668804057750942,1922-08-01
32,32,1922.0,September,35.07811073438656,1.381027981668762,1922-09-01
33,33,1922.0,October,37.85606562597512,1.4903962844872096,1922-10-01
