,Month,RF_in,rolledMonth,RF
0,January,10.621773414220627,July,7.889616561655723
1,February,9.791854858679645,August,9.031913475114473
2,March,12.310932052346763,September,8.311814647849483
3,April,8.985294115772701,October,9.088373583870906
4,May,7.335869911049477,November,11.988821541360098
5,June,6.265891720045693,December,12.992597624735085
6,July,7.889616561655723,January,10.621773414220627
7,August,9.031913475114473,February,9.791854858679645
8,September,8.311814647849483,March,12.310932052346763
9,October,9.088373583870906,April,8.985294115772701
10,November,11.988821541360098,May,7.335869911049477
11,December,12.992597624735085,June,6.265891720045693
